Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,clustering,eigencentrality,modularity_class
PelleBerting,PelleBerting,,0,235,2,1,3,2,1,3,1,1,1,15,0.003219,0.000283,0.00031,0,0.005734,2
marcuscivero,marcuscivero,,0,1275,0,2,2,0,2,2,1,1,1,0,0,0.011395,0.000143,0,0,2
EsoClose,EsoClose,,0,859,2,1,3,2,2,4,17,0.101572,0.109501,0,0.000018,0.000006,0.000554,0.5,0.006709,2
accountnotfund,accountnotfund,,0,1276,0,3,3,0,3,3,20,0.082812,0.100774,0,0,0.067485,0.000143,0.5,0,1
Horl,Horl,,0,1277,0,1,1,0,2,2,17,0.10165,0.109878,0,0,0.000006,0.000143,0,0,2
UutWieert,UutWieert,,0,1278,0,1,1,0,1,1,1,1,1,0,0,0.000431,0.000143,0,0,2
NLfeest,NLfeest,,0,634,4,17,21,5,19,24,14,0.151609,0.186444,169507.029703,0.003964,0.014773,0.000389,0.017544,0.024944,1
Carlitosisback,Carlitosisback,,0,1280,0,2,2,0,2,2,1,1,1,0,0,0,0.000143,0,0,1
echtesas,echtesas,,0,634,1,8,9,1,11,12,16,0.11766,0.139647,19794.860884,0.001562,0.038812,0.000548,0.142857,0.013915,1
veroniek1955,veroniek1955,,0,1284,0,6,6,0,6,6,17,0.107227,0.125419,0,0,0.010064,0.000143,0.066667,0,2
Rosa0171,Rosa0171,,0,1283,2,0,2,2,0,2,0,0,0,0,0.000506,0,0.000286,0,0.003606,2
Danny_T1981,Danny_T1981,,0,1285,0,1,1,0,1,1,16,0.111028,0.119415,0,0,0.00483,0.000143,0,0,0
ZwaanBente,ZwaanBente,,0,634,2,11,13,4,12,16,15,0.113282,0.133843,17132.078781,0.001869,0.004972,0.00023,0.060606,0.008029,0
Franssen1956,Franssen1956,,0,195,1,3,4,1,3,4,1,1,1,0,0.000249,0.000197,0.000161,0.25,0.003231,0
kimvankeken,kimvankeken,,0,194,5,0,5,5,0,5,0,0,0,0,0.00337,0,0.000379,0.1,0.014219,0
JanRiezenkamp,JanRiezenkamp,,0,192,2,0,2,2,0,2,0,0,0,0,0.000259,0,0.000207,0.5,0.005653,0
hugo_lasnier,hugo_lasnier,,0,1286,0,3,3,0,3,3,1,1,1,0,0,0.005079,0.000143,0,0,0
elineannepeters,elineannepeters,,0,1287,4,0,4,4,0,4,0,0,0,0,0.000498,0,0.000428,0,0.007212,2
jannavandam,jannavandam,,0,1288,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.0304,0.000143,0.5,0,1
heinsjohn,heinsjohn,,0,1144,4,1,5,7,1,8,2,0.666667,0.75,11,0.002618,0.024975,0.000272,0,0.008873,3
lotterik2,lotterik2,,0,832,4,1,5,7,1,8,2,0.545455,0.583333,0,0.00503,0.006494,0.00024,0.2,0.008873,3
