Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,clustering,eigencentrality,modularity_class
SteveSarian1,SteveSarian1,,0,641,0,2,2,0,3,3,14,0.150768,0.185793,0,0,0.000287,0.000143,0,0,2
Bij88941056,Bij88941056,,0,634,13,39,52,17,52,69,13,0.156791,0.211868,82495.852103,0.005718,0.059115,0.000645,0.008163,0.036033,2
lewinskylou2,lewinskylou2,,0,307,7,1,8,7,1,8,1,1,1,1295,0.00697,0.00016,0.00049,0.017857,0.015935,1
DerrickDuc,DerrickDuc,,0,634,3,46,49,3,47,50,13,0.197248,0.272569,287509.160203,0.001838,0.000917,0.000238,0,0.006941,2
Harm_Zwiers,Harm_Zwiers,,0,634,2,4,6,3,5,8,22,0.072789,0.091677,5229.40266,0.000604,0.01924,0.000177,0.05,0.011134,2
BramTheunissen1,BramTheunissen1,,0,647,2,12,14,6,17,23,13,0.146211,0.175942,2958.82619,0.001406,0.052877,0.000234,0.012821,0.005374,4
Messentracker,Messentracker,,0,646,1,1,2,1,1,2,1,1,1,7,0.00265,0.000025,0.00016,0,0.002933,2
Dutchfan33,Dutchfan33,,0,648,0,3,3,0,3,3,2,0.8,0.875,0,0,0.017352,0.000143,0,0,2
SylvanaBIJ1,SylvanaBIJ1,,0,109,152,0,152,185,0,185,0,0,0,0,0.195546,0,0.009433,0.001394,0.447703,1
Jaaph,Jaaph,,0,607,2,2,4,2,2,4,1,1,1,95.193864,0.000063,0.010152,0.000235,0,0.005617,1
hanszuidinga,hanszuidinga,,0,658,0,3,3,0,3,3,17,0.110151,0.133252,0,0,0.000648,0.000143,0,0,2
rallyjef2,rallyjef2,,0,61,24,0,24,30,0,30,0,0,0,0,0.008286,0,0.001376,0.012681,0.062863,2
VrouwvdVrijheid,VrouwvdVrijheid,,0,95,69,1,70,77,1,78,1,1,1,1340,0.078861,0,0.003406,0.001863,0.181042,2
ShashiRoopram,ShashiRoopram,,0,634,90,1,91,106,2,108,14,0.140561,0.155039,689806.071053,0.088789,0.000002,0.009376,0.007814,0.347346,0
robknijff27,robknijff27,,0,664,1,8,9,1,9,10,17,0.109047,0.128226,2511.916667,0.000068,0.01424,0.000178,0.071429,0.003261,2
BartNijman,BartNijman,,0,634,59,3,62,64,3,67,16,0.113195,0.126554,120992.429558,0.041531,0.000898,0.005066,0.005085,0.194357,2
NederlandEO,NederlandEO,,0,672,0,8,8,0,9,9,13,0.158127,0.191397,0,0,0.005722,0.000143,0,0,3
OmroepON,OmroepON,,0,11,19,2,21,24,2,26,1,1,1,2442.583333,0.009356,0.000295,0.001173,0.004762,0.049409,3
erikpjverweij,erikpjverweij,,0,634,109,3,112,154,3,157,15,0.124773,0.137056,136860.272338,0.096377,0.004986,0.007534,0.006306,0.302282,0
4Tchat,4Tchat,,0,678,0,7,7,0,7,7,19,0.083974,0.098999,0,0,0.000477,0.000143,0,0,2
SovaEm,SovaEm,,0,677,1,0,1,1,0,1,0,0,0,0,0.000024,0,0.000161,0,0.001803,2
klm6446661261,klm6446661261,,0,679,0,1,1,0,1,1,1,1,1,0,0,0.000938,0.000143,0,0,1
jesseklaver,jesseklaver,,0,13,147,0,147,205,0,205,0,0,0,0,0.168528,0,0.009438,0.003867,0.649081,2
pco3x,pco3x,,0,681,0,2,2,0,3,3,17,0.108352,0.127079,0,0,0.001764,0.000143,0,0,2
Mirjam152,Mirjam152,,0,634,50,4,54,55,4,59,16,0.121198,0.148794,100570.976291,0.035035,0.002551,0.003184,0.004542,0.141708,2
keesjan,keesjan,,0,634,3,8,11,6,11,17,17,0.113195,0.143743,9188.507828,0.001071,0.004865,0.000263,0.022222,0.00662,0
PijpelinkPerry,PijpelinkPerry,,0,463,1,1,2,1,1,2,1,1,1,5.333333,0.000244,0.010844,0.000171,0,0.003327,0
FvdMosselaar,FvdMosselaar,,0,44,28,2,30,28,2,30,1,1,1,1369.083333,0.013621,0.002014,0.001756,0.008046,0.069017,0
RenMid,RenMid,,0,43,3,0,3,3,0,3,0,0,0,0,0.00112,0,0.000956,0,0.021001,1
NederbelgJ,NederbelgJ,,0,634,1,3,4,4,12,16,13,0.150131,0.177804,0,0.00715,0.033493,0.00015,0.5,0.004235,1
SUGenocide,SUGenocide,,0,634,4,36,40,10,102,112,12,0.174413,0.224188,37014.684017,0.007145,0.142648,0.000271,0.03254,0.0124,1
oornstein,oornstein,,0,634,33,4,37,54,5,59,20,0.08334,0.103611,23970.025304,0.049343,0.032682,0.001924,0.027027,0.105396,1
kozwartepiet,kozwartepiet,,0,634,273,18,291,471,22,493,19,0.08995,0.117547,379874.383167,0.611762,0.064434,0.024833,0.005387,1,1
1_Vagabond,1_Vagabond,,0,683,1,2,3,1,2,3,17,0.105167,0.123601,956.32619,0.000007,0.000026,0.000185,0,0.002328,2
Percolator_HNJ,Percolator_HNJ,,0,682,4,0,4,5,0,5,0,0,0,0,0.000433,0,0.000366,0,0.008262,2
GraafR2,GraafR2,,0,684,0,6,6,0,7,7,18,0.096025,0.10989,0,0,0.026914,0.000143,0,0,2
tonnoorhoff,tonnoorhoff,,0,685,0,1,1,0,1,1,17,0.10819,0.125541,0,0,0.001756,0.000143,0,0,2
CleoMatra,CleoMatra,,0,686,0,2,2,0,2,2,3,0.5,0.633333,0,0,0.000429,0.000143,0,0,2
MERuijtenberg,MERuijtenberg,,0,313,3,1,4,5,1,6,2,0.6,0.666667,1291.2,0.004335,0.000084,0.000334,0,0.009375,2
elmer079,elmer079,,0,634,4,4,8,4,4,8,17,0.100116,0.121108,13343.635714,0.002451,0.001896,0.000508,0.02381,0.010201,2
robhonig,robhonig,,0,634,2,4,6,2,4,6,18,0.091062,0.106061,2349.333333,0.000119,0.005849,0.000269,0,0.005799,2
FiliaVeritas,FiliaVeritas,,0,689,3,13,16,3,20,23,15,0.129125,0.161021,2604.940476,0.000992,0.016789,0.000264,0.076923,0.006706,2
W0mmetje,W0mmetje,,0,319,3,3,6,3,3,6,1,1,1,19.333333,0.00117,0.029091,0.00042,0.033333,0.00916,2
HartvNL,HartvNL,,0,27,190,0,190,237,0,237,0,0,0,0,0.21636,0,0.01233,0.002005,0.534336,2
PatWeening,PatWeening,,0,691,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.025057,0.000143,0,0,0
jasonwalters85,jasonwalters85,,0,690,4,0,4,4,0,4,0,0,0,0,0.001651,0,0.000423,0,0.008665,0
TheRebelThePoet,TheRebelThePoet,,0,25,213,1,214,316,1,317,1,1,1,1148.623016,0.498295,0.002671,0.0144,0.004366,0.813891,1
MikeEhrmantrau9,MikeEhrmantrau9,,0,692,0,1,1,0,1,1,1,1,1,0,0,0.000101,0.000143,0,0,2
NadiaBouras,NadiaBouras,,0,400,4,0,4,8,0,8,0,0,0,0,0.002022,0,0.000349,0,0.008831,2
ReitsLydia,ReitsLydia,,0,634,9,5,14,9,5,14,15,0.124864,0.140787,13474.097,0.003889,0.015922,0.000606,0.021978,0.026473,2
malavita666,malavita666,,0,634,1,7,8,1,7,8,14,0.140065,0.174685,6967.248413,0.000192,0.003814,0.000179,0.017857,0.002392,2
LaurensJan4,LaurensJan4,,0,634,2,7,9,3,12,15,15,0.116848,0.134653,42453.882935,0.000064,0.015936,0.000195,0.041667,0.005686,3
Schilinde,Schilinde,,0,693,0,2,2,0,2,2,1,1,1,0,0,0.010279,0.000143,0,0,3
DenKozp,DenKozp,,0,215,12,0,12,14,0,14,0,0,0,0,0.009534,0,0.001166,0,0.039263,3
Dewik2013,Dewik2013,,0,553,2,6,8,2,6,8,1,1,1,1811.31813,0.001655,0.025618,0.000217,0,0.004489,2
chrisarfak,chrisarfak,,0,634,5,14,19,5,15,20,17,0.109195,0.139163,17643.641494,0.001438,0.021507,0.000343,0.019608,0.01252,2
WhiteangelBe,WhiteangelBe,,0,281,5,1,6,5,1,6,1,1,1,4,0.007108,0.010844,0.000263,0.2,0.016483,2
Alphae1978,Alphae1978,,0,634,2,16,18,3,39,42,14,0.149479,0.191772,25952.562555,0.001223,0.009787,0.00021,0.058333,0.012953,2
DeMariekeK,DeMariekeK,,0,634,35,10,45,38,15,53,20,0.084708,0.113304,33405.375496,0.037515,0.047292,0.001493,0.035424,0.097557,2
cirstenkot,cirstenkot,,0,634,2,4,6,2,4,6,21,0.078117,0.096714,0,0.002861,0.006724,0.000282,0.35,0.025439,2
LiekeSievers,LiekeSievers,,0,115,20,0,20,24,0,24,0,0,0,0,0.022588,0,0.000791,0.065789,0.072678,2
POL_Volendam,POL_Volendam,,0,16,43,0,43,55,0,55,0,0,0,0,0.062008,0,0.002721,0.018826,0.22507,2
nrc,nrc,,0,114,8,0,8,12,0,12,0,0,0,0,0.012046,0,0.000605,0.071429,0.046345,4
barbarozzie,barbarozzie,,0,694,0,2,2,0,2,2,1,1,1,0,0,0.017273,0.000143,0,0,2
anoushanzume,anoushanzume,,0,634,23,3,26,33,4,37,17,0.107635,0.125984,23504.079076,0.046066,0.031168,0.001428,0.059783,0.055407,1
frans09258841,frans09258841,,0,634,3,2,5,5,2,7,21,0.07649,0.088912,8.303084,0.001179,0.009743,0.0002,0.25,0.013995,2
pinkflamey,pinkflamey,,0,695,2,3,5,2,3,5,23,0.068001,0.083049,5.333333,0.001033,0.008569,0.000202,0.2,0.003606,2
kriticat1,kriticat1,,0,634,4,8,12,4,8,12,22,0.07283,0.094261,3668.830556,0.001848,0.014873,0.000311,0.045455,0.014113,2
Benjami60399854,Benjami60399854,,0,697,1,2,3,1,3,4,1,1,1,18.666667,0.000021,0.011015,0.000192,0,0.003898,2
martha7800,martha7800,,0,634,1,15,16,2,17,19,15,0.144235,0.188835,41850.680356,0.001651,0.010147,0.000156,0.008333,0.002686,2
ObmaPascal,ObmaPascal,,0,634,1,2,3,1,2,3,15,0.113022,0.127262,3962.533815,0.000509,0.000361,0.000152,0.166667,0.002356,0
Wimperdepim,Wimperdepim,,0,698,0,3,3,0,3,3,18,0.090678,0.097706,0,0,0.00204,0.000143,0,0,1
sas_pvv_,sas_pvv_,,0,634,13,2,15,13,2,15,17,0.09947,0.106699,16224.581926,0.005982,0.000498,0.000722,0.014286,0.026196,2
AHuisein,AHuisein,,0,701,0,5,5,0,5,5,19,0.089309,0.103078,0,0,0.001565,0.000143,0,0,4
AquariusInRed,AquariusInRed,,0,634,20,4,24,35,4,39,18,0.097561,0.112839,226671.419461,0.016608,0.001601,0.004047,0.047619,0.09511,4
SybrenKooistra,SybrenKooistra,,0,630,2,0,2,2,0,2,0,0,0,0,0.004604,0,0.00018,0,0.004667,4
woonnomade,woonnomade,,0,617,1,6,7,1,6,7,3,0.590909,0.705128,7098.6,0.000509,0.011194,0.000152,0.02381,0.002356,2
WaDoedeGijNou,WaDoedeGijNou,,0,702,2,8,10,2,9,11,2,0.722222,0.807692,18.666667,0.000161,0.045186,0.000175,0.044444,0.003606,1
Shirley78669813,Shirley78669813,,0,634,1,15,16,1,15,16,14,0.149826,0.190348,70733.850288,0.001053,0.000593,0.000179,0.004762,0.006325,2
JdeWittvanOldeB,JdeWittvanOldeB,,0,634,8,9,17,10,14,24,15,0.130683,0.157738,78450.24834,0.003128,0.021013,0.000374,0.008333,0.021611,2
dknergin,dknergin,,0,23,19,0,19,26,0,26,0,0,0,0,0.006535,0,0.001271,0.026316,0.043321,2
volger4444,volger4444,,0,42,1,0,1,1,0,1,0,0,0,0,0.002963,0,0.000157,0,0.009173,2
Chirensnel,Chirensnel,,0,596,1,1,2,1,1,2,1,1,1,0.209524,0.000046,0.008447,0.000148,0,0.003353,2
EdgeOfEurope,EdgeOfEurope,,0,705,7,2,9,7,2,9,2,0.666667,0.75,22,0.004249,0.00029,0.000645,0.071429,0.016794,0
assissicourt,assissicourt,,0,634,3,48,51,3,52,55,14,0.193186,0.275762,251127.783838,0.003168,0.027721,0.000213,0.01551,0.012887,2
Mvdb76,Mvdb76,,0,634,2,4,6,6,12,18,22,0.071707,0.085792,280.083333,0.002219,0.012128,0.000197,0.15,0.008977,2
MvButselaar,MvButselaar,,0,634,6,4,10,7,6,13,14,0.127297,0.149845,26524.867014,0.005473,0.000237,0.000304,0.053571,0.019751,0
terpstra_arnold,terpstra_arnold,,0,189,2,0,2,8,0,8,0,0,0,0,0.000303,0,0.000246,0,0.008954,0
EelcoHoecke,EelcoHoecke,,0,634,13,2,15,14,2,16,17,0.101845,0.111531,7768.276443,0.004991,0.002659,0.000649,0.028571,0.034047,2
JozefRadema,JozefRadema,,0,707,0,7,7,0,7,7,14,0.141469,0.178314,0,0,0.003481,0.000143,0.047619,0,2
LavieJanRoos,LavieJanRoos,,0,51,37,0,37,40,0,40,0,0,0,0,0.025419,0,0.001827,0.003003,0.102356,2
marcelbar8,marcelbar8,,0,90,7,0,7,8,0,8,0,0,0,0,0.002219,0,0.000835,0.142857,0.027953,2
xLotteeA,xLotteeA,,0,709,0,2,2,0,2,2,1,1,1,0,0,0.010037,0.000143,0,0,1
adriaan_tweet,adriaan_tweet,,0,710,0,1,1,0,1,1,2,0.6,0.666667,0,0,0.000113,0.000143,0,0,0
TjerkLangman,TjerkLangman,,0,103,9,2,11,9,2,11,1,1,1,675.917063,0.002251,0.001682,0.000971,0,0.022555,0
ronald19653,ronald19653,,0,503,1,1,2,2,1,3,1,1,1,0,0.001389,0.010844,0.000147,0.5,0.004062,2
SophiaVerbree,SophiaVerbree,,0,711,0,2,2,0,2,2,17,0.10698,0.123553,0,0,0.000163,0.000143,0,0,2
Zeemeermin6,Zeemeermin6,,0,634,10,3,13,12,3,15,16,0.119569,0.144098,223904.372594,0.001428,0.000364,0.001136,0.05303,0.031337,4
Hansla,Hansla,,0,712,0,3,3,0,3,3,16,0.124293,0.157921,0,0,0.000579,0.000143,0,0,3
slaghoedje,slaghoedje,,0,634,9,5,14,9,5,14,16,0.119569,0.158584,100879.868516,0.007818,0.034143,0.000672,0.06044,0.023243,1
RuttenWillem,RuttenWillem,,0,715,0,2,2,0,2,2,16,0.119007,0.136956,0,0,0.00016,0.000143,0,0,2
mister_edjuh,mister_edjuh,,0,714,1,2,3,1,5,6,1,1,1,2,0.000008,0.010877,0.000204,0,0.001803,2
KraaySr,KraaySr,,0,716,0,2,2,0,2,2,1,1,1,0,0,0.005002,0.000143,0,0,2
MolenaarAnnet,MolenaarAnnet,,0,634,6,21,27,6,21,27,14,0.150503,0.195979,25725.774904,0.001536,0.026012,0.000425,0.024217,0.015345,3
moeva18,moeva18,,0,634,55,17,72,58,21,79,15,0.121684,0.15279,101746.530475,0.045074,0.05152,0.00348,0.012836,0.179047,2
HandigeHendrik,HandigeHendrik,,0,718,1,13,14,1,13,14,16,0.117527,0.146058,287.091667,0.000011,0.070524,0.000168,0.032967,0.001803,2
Benjamin___Ben,Benjamin___Ben,,0,719,1,2,3,1,2,3,16,0.111099,0.120245,244.790476,0.000011,0.013277,0.000184,0,0.001803,2
Joop_nl,Joop_nl,,0,298,11,0,11,12,0,12,0,0,0,0,0.018715,0,0.000495,0,0.033505,1
jantje4000,jantje4000,,0,502,1,1,2,1,1,2,1,1,1,0,0.001389,0.010844,0.000147,0.5,0.004062,2
T888T77,T888T77,,0,634,5,7,12,9,18,27,21,0.077211,0.096964,26165.535798,0.007603,0.016555,0.000406,0.090909,0.016693,2
RoxyNova71,RoxyNova71,,0,597,1,2,3,1,2,3,2,0.583333,0.642857,6,0.000799,0.006726,0.000167,0.166667,0.002978,3
roos_rosa,roos_rosa,,0,186,7,0,7,8,0,8,0,0,0,0,0.004623,0,0.000498,0,0.019129,3
frankvdlinde,frankvdlinde,,0,19,111,5,116,151,8,159,1,1,1,3823.845238,0.129578,0.015771,0.006045,0.007946,0.327386,3
lindavandenhov2,lindavandenhov2,,0,720,0,2,2,0,2,2,1,1,1,0,0,0.008602,0.000143,0,0,2
ovcned,ovcned,,0,671,6,0,6,9,0,9,0,0,0,0,0.000314,0,0.000443,0,0.010818,2
dubbelooo,dubbelooo,,0,634,5,34,39,5,66,71,15,0.155141,0.215303,24109.291053,0.005896,0.079215,0.000261,0.022942,0.011486,2
huigen2,huigen2,,0,320,1,1,2,1,1,2,2,0.571429,0.625,1290.5,0.00397,0.000059,0.00015,0,0.004394,2
Het_OM,Het_OM,,0,15,31,0,31,51,0,51,0,0,0,0,0.035858,0,0.002248,0.024731,0.183187,2
D66,D66,,0,252,16,0,16,25,0,25,0,0,0,0,0.030337,0,0.000521,0.0125,0.046047,2
RechtspraakNL,RechtspraakNL,,0,318,2,0,2,2,0,2,0,0,0,0,0.00425,0,0.000191,0,0.006197,2
Jack73571468,Jack73571468,,0,634,2,14,16,2,14,16,15,0.124879,0.145353,14554.515584,0.0018,0.042184,0.000221,0.028571,0.005365,2
Intruder4G,Intruder4G,,0,634,1,8,9,1,8,9,15,0.136671,0.168569,1106.387478,0.000046,0.025218,0.000148,0.027778,0.003353,2
annstrikje,annstrikje,,0,417,11,0,11,12,0,12,0,0,0,0,0.003265,0,0.000876,0.009091,0.028126,2
rblommestijn,rblommestijn,,0,132,46,0,46,54,0,54,0,0,0,0,0.031022,0,0.002984,0.00628,0.126138,3
Nuchtererealist,Nuchtererealist,,0,522,1,1,2,1,1,2,1,1,1,243.9,0.002963,0.000478,0.000157,0,0.009173,2
Derksen_Gelul,Derksen_Gelul,,0,512,3,0,3,3,0,3,0,0,0,0,0.008249,0,0.000182,0,0.013952,3
anonymo02031848,anonymo02031848,,0,611,2,1,3,2,1,3,1,1,1,0.75,0.000731,0.003599,0.000166,0.166667,0.004159,2
PrinceEdwardIII,PrinceEdwardIII,,0,722,0,2,2,0,2,2,2,0.625,0.7,0,0,0.000122,0.000143,0,0,2
RaeMee30,RaeMee30,,0,615,2,2,4,4,2,6,1,1,1,11,0.000006,0.005102,0.000357,0,0.004725,2
hardcorejunkyxx,hardcorejunkyxx,,0,725,0,11,11,0,11,11,2,0.866667,0.923077,0,0,0.028434,0.000143,0,0,1
MaenenL,MaenenL,,0,634,3,7,10,4,10,14,17,0.108063,0.130147,216211.033927,0.000198,0.002519,0.001308,0.160714,0.025998,4
Talentwillwin,Talentwillwin,,0,634,2,1,3,2,1,3,17,0.106877,0.12269,0,0.000131,0.000072,0.000358,0.5,0.008667,4
XRPMackAttack,XRPMackAttack,,0,726,0,6,6,0,6,6,20,0.084881,0.102615,0,0,0.039691,0.000143,0.033333,0,2
dancalegria,dancalegria,,0,451,10,0,10,12,0,12,0,0,0,0,0.008292,0,0.000533,0.022222,0.022099,3
PaulSommen,PaulSommen,,0,727,1,2,3,1,2,3,1,1,1,2,0.000269,0.010912,0.000184,0,0.001803,2
OriginalMars,OriginalMars,,0,356,1,2,3,1,2,3,2,0.583333,0.642857,28.619048,0,0.014941,0.000279,0,0.002916,3
woutschaap,woutschaap,,0,634,9,31,40,9,68,77,15,0.137252,0.185161,47715.256564,0.010602,0.096176,0.000449,0.017949,0.031999,1
DerfLivE,DerfLivE,,0,501,1,2,3,1,2,3,1,1,1,0,0.001389,0.013424,0.000147,0.333333,0.004062,2
rkemp59,rkemp59,,0,610,8,0,8,9,0,9,0,0,0,0,0.003123,0,0.000488,0,0.016453,2
badineur,badineur,,0,728,1,1,2,1,1,2,16,0.111028,0.119415,0,0.000344,0.00483,0.000169,0.5,0.003133,0
switchinblades,switchinblades,,0,735,0,5,5,0,5,5,15,0.129152,0.155996,0,0,0.001459,0.000143,0,0,2
Franklebankle,Franklebankle,,0,734,2,8,10,2,13,15,16,0.108992,0.135981,619.588095,0.000088,0.033594,0.000215,0.111111,0.00419,4
Lampladies,Lampladies,,0,500,2,2,4,2,2,4,1,1,1,7.15103,0.001425,0.016121,0.000188,0.083333,0.005865,2
mocro_de,mocro_de,,0,736,0,7,7,0,7,7,20,0.083019,0.104039,0,0,0.074036,0.000143,0.142857,0,1
DevliegerErik,DevliegerErik,,0,634,28,3,31,31,3,34,20,0.082752,0.100548,35747.279716,0.025859,0.067485,0.002032,0.017204,0.101742,2
Doorbraakeu,Doorbraakeu,,0,634,91,6,97,123,11,134,20,0.082932,0.102908,36501.277103,0.236409,0.032083,0.006672,0.012155,0.446664,1
SilviaGijsen,SilviaGijsen,,0,737,1,1,2,1,1,2,1,1,1,0.5,0,0.009801,0.000204,0,0.001803,1
remkob131,remkob131,,0,738,0,8,8,0,8,8,21,0.077159,0.096451,0,0,0.038279,0.000143,0,0,0
FeyeNody,FeyeNody,,0,47,57,1,58,67,2,69,2,0.666667,0.75,20.552381,0.108247,0.024975,0.002926,0.018451,0.146335,1
MrDucati1,MrDucati1,,0,741,0,2,2,0,2,2,1,1,1,0,0,0.000052,0.000143,0,0,2
TreaRingnalda,TreaRingnalda,,0,742,2,1,3,2,1,3,16,0.112859,0.134453,506.461111,0.000262,0.000501,0.000254,0,0.004587,0
EWagensveld,EWagensveld,,0,634,14,19,33,15,28,43,15,0.127094,0.166179,52624.436304,0.009996,0.047063,0.000937,0.029234,0.073813,2
Alex_Jacob5,Alex_Jacob5,,0,743,2,0,2,2,0,2,0,0,0,0,0.000386,0,0.000238,0,0.004126,0
JohanKoorn,JohanKoorn,,0,744,0,2,2,0,3,3,2,0.75,0.833333,0,0,0.008827,0.000143,0,0,1
rowanvdveen,rowanvdveen,,0,747,0,2,2,0,2,2,1,1,1,0,0,0.000041,0.000143,0,0,2
yassienee,yassienee,,0,746,2,0,2,2,0,2,0,0,0,0,0.000011,0,0.000245,0,0.003606,2
DefanoHolwijn,DefanoHolwijn,,0,745,6,0,6,7,0,7,0,0,0,0,0.000815,0,0.000532,0,0.011799,2
paul196798,paul196798,,0,748,0,4,4,0,4,4,16,0.114169,0.135265,0,0,0.012566,0.000143,0,0,1
Troebadeurtje1,Troebadeurtje1,,0,507,1,1,2,1,1,2,1,1,1,0,0.001338,0.010844,0.000164,0.5,0.003676,2
Moncrie59262982,Moncrie59262982,,0,749,0,2,2,0,2,2,20,0.081809,0.091013,0,0,0.028004,0.000143,0,0,2
Magica08678935,Magica08678935,,0,634,40,1,41,51,1,52,19,0.088927,0.099493,215516.446445,0.060443,0.000832,0.003458,0.011585,0.293087,2
VisserAdriaan,VisserAdriaan,,0,666,1,1,2,1,1,2,2,0.666667,0.75,1,0.000287,0,0.000159,0,0.001803,3
LenSaltwelsh,LenSaltwelsh,,0,665,1,1,2,1,1,2,1,1,1,1,0,0.008447,0.000278,0,0.002264,3
Aquarius4422,Aquarius4422,,0,751,0,2,2,0,3,3,17,0.102083,0.118952,0,0,0.000036,0.000143,0,0,3
EJBron2,EJBron2,,0,750,6,0,6,7,0,7,0,0,0,0,0.000241,0,0.000775,0,0.013714,3
JaapKooiman1,JaapKooiman1,,0,499,1,1,2,1,1,2,1,1,1,0,0.001389,0.010844,0.000147,0.5,0.004062,2
AbrahamWijnand,AbrahamWijnand,,0,752,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.0304,0.000143,0.5,0,1
Esssie31,Esssie31,,0,724,2,0,2,2,0,2,0,0,0,0,0.00144,0,0.000215,0,0.003606,1
SvensTweet,SvensTweet,,0,4,12,0,12,26,0,26,0,0,0,0,0.008896,0,0.003581,0.128788,0.116146,0
Jarno133,Jarno133,,0,225,5,3,8,5,3,8,1,1,1,407.985714,0.007879,0.007261,0.000262,0,0.013963,0
DimitriVistick,DimitriVistick,,0,224,10,0,10,10,0,10,0,0,0,0,0.005606,0,0.000908,0,0.032209,2
NOS,NOS,,0,17,134,0,134,174,0,174,0,0,0,0,0.128279,0,0.008438,0.004152,0.481444,2
VVD,VVD,,0,223,12,0,12,17,0,17,0,0,0,0,0.01099,0,0.000662,0.007576,0.033072,2
pizzettodibarra,pizzettodibarra,,0,634,1,4,5,1,4,5,21,0.078289,0.099169,100.666667,0.000647,0.014501,0.000206,0.333333,0.006737,2
wimvanmierlo,wimvanmierlo,,0,634,4,5,9,5,7,12,21,0.078419,0.102318,7441.530258,0.004428,0.012914,0.000368,0.2,0.034,2
bosch_stephan,bosch_stephan,,0,754,0,2,2,0,2,2,17,0.100077,0.107201,0,0,0.010871,0.000143,0,0,0
LinksBoomer,LinksBoomer,,0,767,0,11,11,0,11,11,14,0.134017,0.16747,0,0,0.013617,0.000143,0,0,2
LightLucieFall,LightLucieFall,,0,634,12,6,18,14,6,20,14,0.141603,0.167692,52571.339424,0.013224,0.011867,0.000467,0.018382,0.03621,2
Christovte1,Christovte1,,0,769,1,6,7,1,6,7,19,0.087948,0.100862,1033,0.000064,0.02407,0.000204,0.02381,0.001803,1
widtvoet,widtvoet,,0,164,7,0,7,7,0,7,0,0,0,0,0.005629,0,0.000656,0,0.023158,2
switch_print,switch_print,,0,772,0,3,3,0,3,3,1,1,1,0,0,0.00104,0.000143,0.333333,0,1
Ludovic32619095,Ludovic32619095,,0,771,1,2,3,1,2,3,1,1,1,0,0.000052,0.001037,0.000184,0.333333,0.001803,1
volendam,volendam,,0,770,3,0,3,3,0,3,0,0,0,0,0.000597,0,0.000323,0.166667,0.00587,1
kozp,kozp,,0,364,34,0,34,45,0,45,0,0,0,0,0.020092,0,0.002536,0.022282,0.085904,1
LegitDonChi,LegitDonChi,,0,776,0,3,3,0,3,3,2,0.714286,0.8,0,0,0.001321,0.000143,0,0,1
_Madebydave,_Madebydave,,0,775,1,1,2,1,1,2,1,1,1,1,0.000066,0.000107,0.000184,0,0.001803,1
GroningerHopper,GroningerHopper,,0,773,2,1,3,2,1,3,1,1,1,1,0.000876,0.009801,0.00019,0.166667,0.003606,1
Rutger_hedonist,Rutger_hedonist,,0,766,1,13,14,1,13,14,3,0.833333,0.922222,14,0.000683,0.057062,0.000155,0.005495,0.001803,1
MaxTheDragon,MaxTheDragon,,0,634,9,10,19,14,43,57,15,0.127203,0.146554,26164.382462,0.002839,0.010107,0.001083,0.071429,0.026524,0
j_flamingo,j_flamingo,,0,634,2,3,5,5,6,11,16,0.11291,0.125184,5283.740476,0.00316,0.011014,0.000247,0,0.010136,0
Kara___Gozlum,Kara___Gozlum,,0,782,6,14,20,8,46,54,16,0.1183,0.147934,6115.666667,0.000002,0.000362,0.000885,0.021978,0.01652,2
airmaxx141,airmaxx141,,0,634,3,2,5,13,2,15,20,0.082739,0.099433,2730.952381,0.000018,0.03108,0.000432,0.1,0.010431,2
Abel19131812,Abel19131812,,0,634,1,5,6,1,5,6,20,0.082858,0.102116,188.813492,0.001389,0.086775,0.000147,0.166667,0.004062,1
ZeepSop,ZeepSop,,0,634,3,17,20,3,17,20,13,0.145209,0.180223,21314.581888,0.000839,0.033711,0.000269,0.070175,0.009235,0
Schnoetsz,Schnoetsz,,0,188,3,0,3,4,0,4,0,0,0,0,0.00172,0,0.000286,0.5,0.011582,0
BartBlaauw,BartBlaauw,,0,498,1,2,3,1,2,3,1,1,1,2.833333,0.001389,0.012802,0.000147,0.166667,0.004062,2
NHNieuws,NHNieuws,,0,30,89,0,89,131,0,131,0,0,0,0,0.118986,0,0.004943,0.004852,0.272249,3
Drkzwgr11,Drkzwgr11,,0,784,0,3,3,0,3,3,1,1,1,0,0,0.000895,0.000143,0,0,3
RaafMeneer,RaafMeneer,,0,497,2,2,4,2,4,6,1,1,1,1298,0.001716,0.010871,0.000257,0.166667,0.006979,2
hulswood,hulswood,,0,785,3,0,3,3,0,3,0,0,0,0,0.00141,0,0.000279,0,0.005409,0
IlseTuhinMaria,IlseTuhinMaria,,0,786,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.028971,0.000143,0,0,2
RutgerGW,RutgerGW,,0,97,68,0,68,75,0,75,0,0,0,0,0.079746,0,0.004215,0.003951,0.225988,2
alextencate,alextencate,,0,634,14,2,16,22,6,28,16,0.114273,0.129336,36905.689029,0.008027,0.000886,0.002602,0.038462,0.082341,2
