Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,clustering,eigencentrality
IrmaDiana58,IrmaDiana58,,0,2944,0,4,4,0,4,4,2,0.833333,0.9,0,0,0.018564,4,0.000113,0,0
wo_shame,wo_shame,,0,327,1,0,1,1,0,1,0,0,0,0,0.00506,0,1,0.000119,0,0.00378
Tsjakaaaa,Tsjakaaaa,,0,2947,0,3,3,0,3,3,3,0.518519,0.583333,0,0,0.000886,0,0.000113,0,0
fmca69,fmca69,,0,2948,0,2,2,0,2,2,23,0.091489,0.11549,0,0,0.00326,0,0.000113,0,0
WappieWokey,WappieWokey,,0,2949,0,1,1,0,1,1,1,1,1,0,0,0.003961,0,0.000113,0,0
Dennis19742012,Dennis19742012,,0,2950,0,2,2,0,2,2,22,0.072124,0.086881,0,0,0.031014,1,0.000113,1,0
PierreSophie1,PierreSophie1,,0,1125,1,0,1,1,0,1,0,0,0,0,0.001877,0,4,0.000124,0,0.002399
NicolausPaal,NicolausPaal,,0,2951,0,1,1,0,1,1,1,1,1,0,0,0.000477,5,0.000113,0,0
johannes26969,johannes26969,,0,2952,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.003691,4,0.000113,0,0
AlexF21110522,AlexF21110522,,0,2953,0,1,1,0,1,1,2,0.6,0.666667,0,0,0.000242,4,0.000113,0,0
M0NTY__241,M0NTY__241,,0,2954,0,1,1,0,1,1,1,1,1,0,0,0.000423,5,0.000113,0,0
Influenca2,Influenca2,,0,88,1,1,2,1,1,2,2,0.666667,0.75,95.666667,0.00057,0.003691,4,0.000127,0,0.008093
Bertvandeweert1,Bertvandeweert1,,0,2958,0,4,4,0,5,5,3,0.461538,0.583333,0,0,0.000395,0,0.000113,0.083333,0
Moonniet,Moonniet,,0,2957,1,3,4,1,3,4,2,0.6,0.666667,8,0.000019,0.009184,0,0.000137,0.166667,0.001911
op1,op1,,0,2956,2,0,2,2,0,2,0,0,0,0,0.000471,0,0,0.000176,0.5,0.00431
Readyrnot2,Readyrnot2,,0,2959,0,2,2,0,2,2,22,0.102409,0.122308,0,0,0.004299,2,0.000113,0,0
Jaq0,Jaq0,,0,2960,0,1,1,0,1,1,2,0.6,0.666667,0,0,0.000242,4,0.000113,0,0
Vetustioribus,Vetustioribus,,0,1621,1,1,2,1,1,2,1,1,1,0,0.000547,0.000027,4,0.000125,0.5,0.001911
eatlovepray211,eatlovepray211,,0,1620,3,0,3,3,0,3,0,0,0,0,0.00055,0,4,0.000327,0.166667,0.006221
LindaDekker79,LindaDekker79,,0,2961,0,4,4,0,4,4,2,0.833333,0.9,0,0,0.013392,3,0.000113,0,0
OldHag07738304,OldHag07738304,,0,1366,1,0,1,1,0,1,0,0,0,0,0.001759,0,4,0.000119,0,0.002888
BossoRosso1,BossoRosso1,,0,2963,0,2,2,0,2,2,1,1,1,0,0,0.005942,1,0.000113,0,0
Dirkussssstweet,Dirkussssstweet,,0,2962,2,0,2,2,0,2,0,0,0,0,0.001477,0,1,0.000172,0,0.003822
Solace92109577,Solace92109577,,0,2964,0,1,1,0,1,1,1,1,1,0,0,0.00009,1,0.000113,0,0
jankoudum,jankoudum,,0,222,1,0,1,1,0,1,0,0,0,0,0.002451,0,0,0.000131,0,0.011244
MarkvanDam95,MarkvanDam95,,0,2965,0,1,1,0,1,1,1,1,1,0,0,0.006854,0,0.000113,0,0
navelpluistrui,navelpluistrui,,0,2967,0,4,4,0,4,4,2,0.7,0.785714,0,0,0.007257,0,0.000113,0,0
JoostHoekstra1,JoostHoekstra1,,0,2966,1,0,1,1,0,1,0,0,0,0,0.000357,0,0,0.000137,0,0.001911
minnilimburg,minnilimburg,,0,2968,0,1,1,0,1,1,4,0.384615,0.483333,0,0,0,2,0.000113,0,0
FrankVteZ,FrankVteZ,,0,2969,0,1,1,0,1,1,1,1,1,0,0,0.001644,0,0.000113,0,0
ParkerPiet,ParkerPiet,,0,2970,0,1,1,0,1,1,1,1,1,0,0,0.000839,1,0.000113,0,0
Rebellation,Rebellation,,0,2971,0,1,1,0,1,1,2,0.6,0.666667,0,0,0.000056,1,0.000113,0,0
JuanDav10008573,JuanDav10008573,,0,2972,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.003709,4,0.000113,0,0
Wenthehunter,Wenthehunter,,0,2973,0,1,1,0,1,1,1,1,1,0,0,0.000839,1,0.000113,0,0
Blikstjinder,Blikstjinder,,0,2976,0,3,3,0,3,3,24,0.087418,0.107929,0,0,0.002012,0,0.000113,0,0
CacheMoney18,CacheMoney18,,0,2975,1,0,1,1,0,1,0,0,0,0,0.000099,0,0,0.000145,0,0.001911
FuckTheShitUSay,FuckTheShitUSay,,0,2974,1,0,1,1,0,1,0,0,0,0,0.000099,0,0,0.000145,0,0.001911
mug_willem,mug_willem,,0,2979,0,9,9,0,9,9,2,0.846154,0.909091,0,0,0.024111,1,0.000113,0,0
HJEbbelink,HJEbbelink,,0,2980,0,4,4,0,4,4,22,0.07245,0.091013,0,0,0.043851,0,0.000113,0.166667,0
echtnieuwsned,echtnieuwsned,,0,2981,0,2,2,0,2,2,1,1,1,0,0,0.013679,0,0.000113,0,0
Euscupido,Euscupido,,0,2982,0,1,1,0,1,1,2,0.6,0.666667,0,0,0.000056,1,0.000113,0,0
AnarchyDucking,AnarchyDucking,,0,2983,0,3,3,0,4,4,22,0.072363,0.0889,0,0,0.031791,1,0.000113,0.166667,0
SpaanHenkie,SpaanHenkie,,0,2984,0,1,1,0,1,1,1,1,1,0,0,0.001291,0,0.000113,0,0
StAmC3ll,StAmC3ll,,0,2985,0,3,3,0,3,3,25,0.087539,0.108856,0,0,0.004841,4,0.000113,0,0
Jeffarson29,Jeffarson29,,0,2402,3,2,5,3,2,5,1,1,1,2,0.002515,0.013337,0,0.000278,0.25,0.006413
nata5jaa,nata5jaa,,0,2402,1,2,3,1,2,3,1,1,1,0,0.000655,0.013429,0,0.000231,0.5,0.003454
harmuuteanske,harmuuteanske,,0,2986,0,3,3,0,3,3,1,1,1,0,0,0.008432,1,0.000113,0,0
Telegraaf,Telegraaf,,0,1181,11,0,11,14,0,14,0,0,0,0,0.003404,0,3,0.000892,0,0.023463
keesjan,keesjan,,0,2124,2,6,8,5,9,14,23,0.104478,0.134618,317.5,0.00103,0.004474,2,0.000152,0.047619,0.00444
JMB_NL,JMB_NL,,0,1817,2,0,2,2,0,2,0,0,0,0,0.002122,0,1,0.000142,0,0.00536
parlementor,parlementor,,0,2123,2,0,2,2,0,2,0,0,0,0,0.00022,0,4,0.000337,0,0.005977
WappieNederland,WappieNederland,,0,2987,0,1,1,0,1,1,3,0.47619,0.516667,0,0,0.000457,1,0.000113,0,0
Tiswa80,Tiswa80,,0,2988,0,1,1,0,1,1,1,1,1,0,0,0.003961,0,0.000113,0,0
