Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,clustering,eigencentrality
Dutchfan33,Dutchfan33,,0,5,1,4,5,1,4,5,2,0.833333,0.9,5,0,0.018119,0,0.000209,0,0.001911
SylvanaBIJ1,SylvanaBIJ1,,0,4,196,0,196,234,0,234,0,0,0,0,0.220749,0,1,0.010572,0.000759,0.481908
robknijff27,robknijff27,,0,502,1,10,11,1,11,12,24,0.097075,0.134384,1362,0.000068,0.015177,0,0.000135,0.044444,0.00296
yungquichot,yungquichot,,0,501,1,0,1,1,0,1,0,0,0,0,0.000746,0,0,0.000124,0,0.002529
BartNijman,BartNijman,,0,492,71,4,75,77,4,81,23,0.095366,0.12238,90516.2,0.040744,0.000798,0,0.004817,0.003044,0.209477
Jaaph,Jaaph,,0,503,0,2,2,0,2,2,1,1,1,0,0,0.010439,4,0.000113,0,0
jesseklaver,jesseklaver,,0,61,182,0,182,240,0,240,0,0,0,0,0.179114,0,4,0.009433,0.001973,0.492083
Mapacho111,Mapacho111,,0,504,0,1,1,0,1,1,1,1,1,0,0,0.008802,4,0.000113,0,0
NederbelgJ,NederbelgJ,,0,525,1,3,4,4,12,16,13,0.158313,0.194977,0,0.006968,0.032312,1,0.000117,0.5,0.004484
SUGenocide,SUGenocide,,0,525,4,40,44,10,106,116,12,0.186731,0.257396,5604.5,0.006766,0.141799,1,0.00021,0.025,0.013126
oornstein,oornstein,,0,492,34,5,39,55,6,61,22,0.072514,0.091672,13425.25,0.046935,0.031698,1,0.001513,0.024291,0.107836
kozwartepiet,kozwartepiet,,0,492,292,11,303,491,11,502,21,0.077606,0.101621,279309.301335,0.603839,0.043948,1,0.023493,0.004316,1
JanKeyzer2,JanKeyzer2,,0,526,0,1,1,0,3,3,1,1,1,0,0,0.010848,1,0.000113,0,0
GraafR2,GraafR2,,0,532,0,10,10,0,11,11,25,0.088228,0.117597,0,0,0.029683,0,0.000113,0,0
Pattysaurus_,Pattysaurus_,,0,533,0,1,1,0,1,1,1,1,1,0,0,0.008802,4,0.000113,0,0
elmer079,elmer079,,0,492,4,3,7,4,3,7,23,0.082103,0.101117,20480.166667,0.002305,0,5,0.000363,0,0.010279
robhonig,robhonig,,0,492,1,6,7,1,6,7,24,0.075968,0.09345,3482,0,0.005706,5,0.000216,0,0.004167
FiliaVeritas,FiliaVeritas,,0,541,2,14,16,2,23,25,24,0.098034,0.153898,1183.333333,0.000892,0.019021,0,0.000174,0.076923,0.005069
W0mmetje,W0mmetje,,0,540,1,3,4,1,3,4,1,1,1,4,0.000935,0.032955,0,0.000123,0.083333,0.003033
HartvNL,HartvNL,,0,125,249,0,249,295,0,295,0,0,0,0,0.270749,0,0,0.014237,0.000826,0.583035
PatWeening,PatWeening,,0,543,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.02376,2,0.000113,0,0
jasonwalters85,jasonwalters85,,0,542,5,0,5,5,0,5,0,0,0,0,0.001539,0,2,0.000406,0,0.010604
TheRebelThePoet,TheRebelThePoet,,0,30,225,1,226,326,1,327,1,1,1,1175.583333,0.481969,0.002505,1,0.012742,0.003658,0.801828
MikeEhrmantrau9,MikeEhrmantrau9,,0,547,0,3,3,0,3,3,1,1,1,0,0,0.000086,0,0.000113,0,0
Judge79564714,Judge79564714,,0,546,1,0,1,1,0,1,0,0,0,0,0.000004,0,0,0.000145,0,0.001911
NadiaBouras,NadiaBouras,,0,545,4,0,4,8,0,8,0,0,0,0,0.001751,0,0,0.000182,0,0.008205
soulsister4u,soulsister4u,,0,544,1,0,1,1,0,1,0,0,0,0,0.000004,0,0,0.000145,0,0.001911
Schilinde,Schilinde,,0,548,0,2,2,0,2,2,1,1,1,0,0,0.011325,1,0.000113,0,0
DenKozp,DenKozp,,0,199,14,0,14,16,0,16,0,0,0,0,0.009715,0,5,0.000776,0,0.037302
Dewik2013,Dewik2013,,0,551,0,6,6,0,6,6,2,0.875,0.928571,0,0,0.028531,0,0.000113,0,0
Alphae1978,Alphae1978,,0,492,2,20,22,3,43,46,13,0.162443,0.214747,46665.366667,0.001152,0.009377,3,0.000167,0.036842,0.013959
DeMariekeK,DeMariekeK,,0,492,33,10,43,36,15,51,22,0.076756,0.114461,53849.512302,0.035674,0.046244,4,0.000989,0.037821,0.088549
cirstenkot,cirstenkot,,0,492,2,4,6,2,4,6,23,0.071315,0.095915,0,0.002733,0.006402,4,0.000204,0.35,0.024729
LiekeSievers,LiekeSievers,,0,108,20,0,20,24,0,24,0,0,0,0,0.021787,0,4,0.000563,0.065789,0.069409
POL_Volendam,POL_Volendam,,0,21,46,0,46,58,0,58,0,0,0,0,0.061129,0,0,0.002039,0.016425,0.218141
nrc,nrc,,0,107,10,0,10,14,0,14,0,0,0,0,0.011697,0,4,0.000569,0.044444,0.047855
barbarozzie,barbarozzie,,0,552,0,2,2,0,2,2,1,1,1,0,0,0.020159,0,0.000113,0,0
pinkflamey,pinkflamey,,0,553,2,2,4,2,2,4,25,0.063245,0.087006,5.333333,0.001038,0.008895,4,0.000159,0.333333,0.003822
kriticat1,kriticat1,,0,492,4,12,16,4,13,17,24,0.067408,0.105876,10104.5,0.001887,0.014859,4,0.000251,0.02381,0.014803
AHuisein,AHuisein,,0,558,0,6,6,0,6,6,25,0.082683,0.106506,0,0,0.001352,1,0.000113,0,0
AquariusInRed,AquariusInRed,,0,492,19,4,23,34,4,38,24,0.08934,0.114571,7827.533333,0.015602,0.00152,5,0.000625,0.045238,0.04961
SybrenKooistra,SybrenKooistra,,0,557,2,0,2,2,0,2,0,0,0,0,0.004302,0,1,0.000136,0,0.004378
WaDoedeGijNou,WaDoedeGijNou,,0,565,0,8,8,0,9,9,3,0.607143,0.715686,0,0,0.043243,1,0.000113,0.071429,0
MariekeJL,MariekeJL,,0,566,0,1,1,0,1,1,1,1,1,0,0,0.000312,0,0.000113,0,0
dknergin,dknergin,,0,28,25,0,25,32,0,32,0,0,0,0,0.006359,0,0,0.001482,0.015,0.056639
volger4444,volger4444,,0,569,1,2,3,1,2,3,1,1,1,6,0.003034,0,0,0.000116,0,0.002888
DeBezigeBijl,DeBezigeBijl,,0,568,1,0,1,1,0,1,0,0,0,0,0,0,0,0.000162,0,0.002523
BE_giilles,BE_giilles,,0,567,1,0,1,1,0,1,0,0,0,0,0,0,0,0.000162,0,0.002523
urchench,urchench,,0,572,0,1,1,0,1,1,3,0.5,0.583333,0,0,0.00021,1,0.000113,0,0
EdgeOfEurope,EdgeOfEurope,,0,571,9,2,11,9,2,11,2,0.75,0.833333,23,0.004266,0.000283,1,0.000857,0.044444,0.021749
MvButselaar,MvButselaar,,0,492,6,5,11,7,7,14,17,0.128166,0.165583,41724.616667,0.003344,0.000221,4,0.000308,0.041667,0.016684
terpstra_arnold,terpstra_arnold,,0,380,2,0,2,8,0,8,0,0,0,0,0.000301,0,2,0.000188,0,0.0084
JozefRadema,JozefRadema,,0,627,0,8,8,0,8,8,19,0.151967,0.21029,0,0,0.002909,0,0.000113,0.035714,0
LavieJanRoos,LavieJanRoos,,0,138,58,0,58,61,0,61,0,0,0,0,0.026278,0,0,0.003283,0.00121,0.131927
assissicourt,assissicourt,,0,492,3,8,11,3,9,12,24,0.065955,0.095415,3431,0.002993,0.025283,0,0.00016,0.044444,0.008277
ronald19653,ronald19653,,0,140,1,1,2,1,1,2,1,1,1,0,0.001242,0.013305,0,0.00013,0.5,0.00367
KraaySr,KraaySr,,0,629,0,3,3,0,3,3,1,1,1,0,0,0.004732,4,0.000113,0,0
HansAckerNY,HansAckerNY,,0,628,1,0,1,1,0,1,0,0,0,0,0.000233,0,4,0.000145,0,0.001911
HandigeHendrik,HandigeHendrik,,0,635,0,13,13,0,13,13,16,0.128647,0.172829,0,0,0.069864,0,0.000113,0.032051,0
Benjamin___Ben,Benjamin___Ben,,0,636,0,2,2,0,2,2,23,0.094134,0.111834,0,0,0.013765,2,0.000113,0,0
JdeWittvanOldeB,JdeWittvanOldeB,,0,645,3,13,16,5,18,23,24,0.064288,0.088498,796,0.002238,0.022331,4,0.000159,0.004167,0.009794
T888T77,T888T77,,0,492,5,8,13,9,20,29,23,0.068723,0.092462,9993.99632,0.007678,0.018771,0,0.000236,0.060606,0.013555
RoxyNova71,RoxyNova71,,0,647,1,3,4,1,3,4,2,0.588235,0.65,10,0.000783,0.006384,5,0.000129,0.083333,0.002467
Anouck526,Anouck526,,0,646,1,0,1,1,0,1,0,0,0,0,0.000314,0,5,0.000149,0,0.002467
roos_rosa,roos_rosa,,0,146,7,0,7,8,0,8,0,0,0,0,0.004313,0,5,0.000343,0,0.015967
frankvdlinde,frankvdlinde,,0,26,122,7,129,162,10,172,1,1,1,6023.25,0.125281,0.015869,5,0.005162,0.00539,0.300093
lindavandenhov2,lindavandenhov2,,0,648,0,2,2,0,2,2,1,1,1,0,0,0.008955,0,0.000113,0,0
DuikerEvert,DuikerEvert,,0,649,0,1,1,0,1,1,1,1,1,0,0,0.008802,4,0.000113,0,0
Bij88941056,Bij88941056,,0,624,2,39,41,2,52,54,18,0.157531,0.245396,1140.2,0.000166,0.06174,0,0.000149,0.007927,0.003822
ReitsLydia,ReitsLydia,,0,623,8,7,15,8,7,15,22,0.104759,0.136708,6084.466667,0.00383,0.015561,0,0.000472,0.019048,0.017242
dubbelooo,dubbelooo,,0,714,1,37,38,1,70,71,18,0.145977,0.230095,761,0.00001,0.080691,0,0.000161,0.02276,0.001911
WhiteangelBe,WhiteangelBe,,0,537,5,1,6,5,1,6,1,1,1,1,0.006274,0.013305,0,0.000297,0.2,0.011789
huigen2,huigen2,,0,713,1,0,1,1,0,1,0,0,0,0,0.003965,0,0,0.000117,0,0.002399
Het_OM,Het_OM,,0,20,32,0,32,52,0,52,0,0,0,0,0.034937,0,0,0.001479,0.022177,0.164942
D66,D66,,0,333,16,0,16,25,0,25,0,0,0,0,0.029587,0,3,0.000287,0.008333,0.03549
RechtspraakNL,RechtspraakNL,,0,712,2,0,2,2,0,2,0,0,0,0,0.004241,0,0,0.000165,0,0.00431
Jack73571468,Jack73571468,,0,715,1,14,15,1,14,15,21,0.104953,0.142277,674,0.000041,0.041259,1,0.000165,0.021978,0.002467
betweterr,betweterr,,0,716,0,1,1,0,1,1,1,1,1,0,0,0.001548,5,0.000113,0,0
rblommestijn,rblommestijn,,0,257,57,0,57,65,0,65,0,0,0,0,0.031495,0,5,0.003071,0.004073,0.135882
Nuchtererealist,Nuchtererealist,,0,618,1,1,2,1,1,2,1,1,1,2.5,0.003034,0.000477,0,0.000116,0,0.002888
Derksen_Gelul,Derksen_Gelul,,0,597,2,0,2,2,0,2,0,0,0,0,0.007863,0,0,0.000122,0,0.005617
hardcorejunkyxx,hardcorejunkyxx,,0,724,0,14,14,0,14,14,2,0.888889,0.9375,0,0,0.03185,5,0.000113,0,0
MaenenL,MaenenL,,0,492,3,7,10,4,10,14,23,0.098048,0.134222,22159.916667,0.000184,0.002366,5,0.000348,0.160714,0.021133
Talentwillwin,Talentwillwin,,0,492,2,1,3,2,1,3,23,0.095151,0.120684,0,0.00012,0.000067,5,0.000195,0.5,0.008326
Zeemeermin6,Zeemeermin6,,0,492,10,4,14,12,4,16,22,0.104959,0.144241,65456.902381,0.001363,0.000265,5,0.000759,0.044872,0.030106
XRPMackAttack,XRPMackAttack,,0,725,0,6,6,0,6,6,23,0.067615,0.08452,0,0,0.038281,4,0.000113,0.033333,0
dancalegria,dancalegria,,0,255,14,0,14,16,0,16,0,0,0,0,0.008385,0,5,0.000814,0.010989,0.029464
PaulSommen,PaulSommen,,0,727,1,2,3,1,2,3,1,1,1,2,0.00027,0.013377,0,0.000145,0,0.001911
BramTheunissen1,BramTheunissen1,,0,739,1,13,14,5,17,22,18,0.138236,0.185687,2181.4,0.001302,0.049371,5,0.000133,0.012821,0.003719
Stemzeweg1,Stemzeweg1,,0,738,1,0,1,1,0,1,0,0,0,0,0.002426,0,5,0.000122,0,0.002613
ShashiRoopram,ShashiRoopram,,0,492,95,2,97,111,3,114,21,0.113606,0.140133,466883.397547,0.08609,0.000002,2,0.008283,0.006551,0.353182
OriginalMars,OriginalMars,,0,740,0,2,2,0,2,2,2,0.5625,0.611111,0,0,0.014958,4,0.000113,0,0
VogelzangKees,VogelzangKees,,0,741,0,1,1,0,1,1,1,1,1,0,0,0.010848,1,0.000113,0,0
SnoefJol,SnoefJol,,0,743,0,1,1,0,1,1,1,1,1,0,0,0.000131,0,0.000113,0,0
rkemp59,rkemp59,,0,742,10,0,10,10,0,10,0,0,0,0,0.00266,0,0,0.000561,0,0.019598
badineur,badineur,,0,744,1,1,2,1,1,2,23,0.094055,0.110562,0,0.000335,0.004963,2,0.000132,0.5,0.003318
erikpjverweij,erikpjverweij,,0,492,139,3,142,184,3,187,22,0.103666,0.127186,92673.309488,0.100993,0.004752,2,0.008361,0.003749,0.347352
Harm_Zwiers,Harm_Zwiers,,0,492,1,4,5,1,5,6,24,0.0673,0.097951,42.825,0.00057,0.019972,4,0.000127,0.083333,0.008093
switchinblades,switchinblades,,0,768,0,5,5,0,5,5,23,0.105574,0.146117,0,0,0.001401,1,0.000113,0,0
Franklebankle,Franklebankle,,0,767,2,8,10,2,13,15,22,0.102449,0.140903,776.078571,0.000078,0.032323,1,0.000169,0.111111,0.00444
mocro_de,mocro_de,,0,771,0,9,9,0,9,9,22,0.07261,0.096298,0,0,0.070669,4,0.000113,0.083333,0
DevliegerErik,DevliegerErik,,0,492,34,3,37,37,3,40,22,0.072087,0.088248,31688.609524,0.025599,0.064116,4,0.00233,0.011261,0.106444
Doorbraakeu,Doorbraakeu,,0,492,90,3,93,116,8,124,22,0.072087,0.088248,13331.92619,0.218923,0.030725,1,0.006617,0.012484,0.439678
SilviaGijsen,SilviaGijsen,,0,772,0,1,1,0,1,1,1,1,1,0,0,0.010848,1,0.000113,0,0
remkob131,remkob131,,0,774,0,8,8,0,8,8,2,0.785714,0.863636,0,0,0.041631,5,0.000113,0,0
MrDucati1,MrDucati1,,0,778,0,3,3,0,3,3,1,1,1,0,0,0.000055,4,0.000113,0,0
2Ajaxfriend,2Ajaxfriend,,0,777,1,0,1,1,0,1,0,0,0,0,0.000003,0,4,0.000145,0,0.001911
TreaRingnalda,TreaRingnalda,,0,780,1,2,3,1,2,3,18,0.110511,0.144402,367.666667,0.000218,0.000474,2,0.000137,0,0.001911
EWagensveld,EWagensveld,,0,492,11,21,32,12,30,42,17,0.123873,0.184218,55505.8,0.009632,0.049881,0,0.000455,0.030108,0.055005
oedeltje,oedeltje,,0,782,0,1,1,0,1,1,1,1,1,0,0,0.000019,0,0.000113,0,0
Alex_Jacob5,Alex_Jacob5,,0,781,3,0,3,3,0,3,0,0,0,0,0.000381,0,0,0.000276,0,0.005733
JohanKoorn,JohanKoorn,,0,783,0,2,2,0,3,3,2,0.75,0.833333,0,0,0.009166,0,0.000113,0,0
rowanvdveen,rowanvdveen,,0,786,0,2,2,0,2,2,1,1,1,0,0,0.000039,1,0.000113,0,0
yassienee,yassienee,,0,785,2,0,2,2,0,2,0,0,0,0,0.00001,0,1,0.000193,0,0.003822
DefanoHolwijn,DefanoHolwijn,,0,784,6,0,6,7,0,7,0,0,0,0,0.000791,0,1,0.000298,0,0.011466
paul196798,paul196798,,0,787,0,3,3,0,3,3,19,0.100074,0.126568,0,0,0.013053,0,0.000113,0,0
Mirjam152,Mirjam152,,0,492,55,5,60,60,5,65,18,0.110873,0.14992,199590.116053,0.032694,0.002011,5,0.002815,0.002542,0.128978
Troebadeurtje1,Troebadeurtje1,,0,578,1,1,2,1,1,2,1,1,1,0,0.00147,0.013305,0,0.000126,0.5,0.003423
LaurensJan4,LaurensJan4,,0,793,1,8,9,2,13,15,15,0.122789,0.149566,1800,0.000017,0.015938,5,0.00015,0.027778,0.002467
Moncrie59262982,Moncrie59262982,,0,794,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.026412,1,0.000113,0,0
Magica08678935,Magica08678935,,0,186,43,0,43,53,0,53,0,0,0,0,0.055513,0,0,0.001904,0.00443,0.111897
V1NC3NTH2ONA2K,V1NC3NTH2ONA2K,,0,795,0,1,1,0,1,1,1,1,1,0,0,0.008802,4,0.000113,0,0
Aquarius4422,Aquarius4422,,0,797,0,1,1,0,2,2,1,1,1,0,0,0.000011,0,0.000113,0,0
EJBron2,EJBron2,,0,796,9,0,9,10,0,10,0,0,0,0,0.000228,0,0,0.000858,0,0.017749
AbrahamWijnand,AbrahamWijnand,,0,798,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.028685,1,0.000113,0.5,0
FeyeNody,FeyeNody,,0,58,56,1,57,66,2,68,2,0.666667,0.75,14.5,0.101762,0.023685,1,0.002008,0.018797,0.134618
Esssie31,Esssie31,,0,723,2,0,2,2,0,2,0,0,0,0,0.00158,0,5,0.000168,0,0.003822
JWHalink,JWHalink,,0,799,0,1,1,0,1,1,1,1,1,0,0,0.000437,2,0.000113,0,0
SvensTweet,SvensTweet,,0,181,15,0,15,29,0,29,0,0,0,0,0.008892,0,2,0.003867,0.080952,0.136422
Jarno133,Jarno133,,0,652,4,3,7,4,3,7,1,1,1,18.75,0.007389,0.007662,5,0.000184,0,0.01031
DimitriVistick,DimitriVistick,,0,43,12,0,12,12,0,12,0,0,0,0,0.005624,0,4,0.000703,0,0.029912
NOS,NOS,,0,22,167,0,167,209,0,209,0,0,0,0,0.139485,0,0,0.008898,0.002309,0.484597
VVD,VVD,,0,651,13,0,13,18,0,18,0,0,0,0,0.010809,0,3,0.000488,0,0.027891
marcelhulshof8,marcelhulshof8,,0,800,0,1,1,0,1,1,1,1,1,0,0,0.013305,0,0.000113,0,0
pizzettodibarra,pizzettodibarra,,0,492,1,4,5,1,4,5,23,0.071634,0.101091,130,0.000642,0.014459,4,0.000159,0.333333,0.006893
wimvanmierlo,wimvanmierlo,,0,492,4,5,9,5,7,12,23,0.071902,0.108644,34612.566667,0.004326,0.01307,4,0.000269,0.2,0.033591
LenSaltwelsh,LenSaltwelsh,,0,801,0,1,1,0,1,1,1,1,1,0,0,0.008802,4,0.000113,0,0
bosch_stephan,bosch_stephan,,0,803,0,2,2,0,2,2,24,0.086152,0.100023,0,0,0.013337,2,0.000113,0,0
switch_print,switch_print,,0,806,0,3,3,0,3,3,1,1,1,0,0,0.000972,1,0.000113,0.333333,0
Ludovic32619095,Ludovic32619095,,0,805,1,2,3,1,2,3,1,1,1,0,0.000048,0.00097,1,0.000145,0.333333,0.001911
volendam,volendam,,0,804,3,0,3,3,0,3,0,0,0,0,0.00063,0,1,0.000254,0.166667,0.006221
kozp,kozp,,0,291,34,0,34,45,0,45,0,0,0,0,0.019099,0,1,0.001819,0.02139,0.08343
LegitDonChi,LegitDonChi,,0,811,0,3,3,0,3,3,2,0.666667,0.75,0,0,0.001341,0,0.000113,0,0
_Madebydave,_Madebydave,,0,810,1,2,3,1,2,3,1,1,1,2,0.000066,0.000099,0,0.000145,0,0.001911
GroningerHopper,GroningerHopper,,0,807,2,1,3,2,1,3,1,1,1,1,0.000949,0.010848,0,0.000147,0.166667,0.003822
MaxTheDragon,MaxTheDragon,,0,492,10,10,20,15,43,58,22,0.107097,0.143231,22056.571429,0.002831,0.009863,2,0.000742,0.0625,0.027264
j_flamingo,j_flamingo,,0,492,1,3,4,4,6,10,23,0.096807,0.120367,1166,0.000485,0.013477,2,0.000176,0,0.007653
Kara___Gozlum,Kara___Gozlum,,0,830,6,25,31,8,65,73,23,0.071436,0.121583,3576,0.000001,0.000326,4,0.000616,0.006667,0.017496
siebelcam,siebelcam,,0,829,1,0,1,1,0,1,0,0,0,0,0.000016,0,4,0.000134,0,0.005484
airmaxx141,airmaxx141,,0,824,2,2,4,12,2,14,22,0.072349,0.088724,4634,0.000016,0.030071,4,0.000191,0.166667,0.008302
ZeepSop,ZeepSop,,0,492,3,17,20,3,17,20,16,0.146145,0.204803,31619.516667,0.000787,0.032875,0,0.000197,0.070175,0.009262
Schnoetsz,Schnoetsz,,0,379,3,0,3,4,0,4,0,0,0,0,0.001638,0,4,0.000223,0.5,0.011145
LiberiEritus,LiberiEritus,,0,831,0,1,1,0,1,1,1,1,1,0,0,0.00587,5,0.000113,0,0
NHNieuws,NHNieuws,,0,221,99,0,99,141,0,141,0,0,0,0,0.119449,0,5,0.00388,0.003504,0.259497
Drkzwgr11,Drkzwgr11,,0,836,0,4,4,0,4,4,2,0.75,0.833333,0,0,0.000851,3,0.000113,0,0
LindaEvers17,LindaEvers17,,0,835,1,0,1,1,0,1,0,0,0,0,0.000042,0,3,0.000137,0,0.001911
IlseTuhinMaria,IlseTuhinMaria,,0,837,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.027645,0,0.000113,0,0
RutgerGW,RutgerGW,,0,42,85,0,85,92,0,92,0,0,0,0,0.080595,0,0,0.004709,0.002241,0.235036
Dennisdjfv,Dennisdjfv,,0,838,0,1,1,0,1,1,1,1,1,0,0,0.013305,0,0.000113,0,0
alextencate,alextencate,,0,492,13,3,16,21,7,28,23,0.095597,0.124955,29651.790476,0.007211,0.000771,0,0.001797,0.038462,0.084244
wileikelboom,wileikelboom,,0,492,17,3,20,25,6,31,24,0.087403,0.109673,10537.788095,0.014749,0.003277,0,0.001206,0.035088,0.06983
Intruder4G,Intruder4G,,0,839,0,4,4,0,4,4,19,0.100913,0.131894,0,0,0.024971,4,0.000113,0,0
JozefPost,JozefPost,,0,841,0,3,3,0,3,3,26,0.066308,0.077339,0,0,0.002023,4,0.000113,0.166667,0
jos_koopman,jos_koopman,,0,699,2,2,4,2,3,5,25,0.070799,0.082299,859.5,0.001591,0.001913,4,0.000153,0.166667,0.00458
trouw,trouw,,0,16,50,0,50,63,0,63,0,0,0,0,0.038809,0,4,0.004181,0.004898,0.139907
VenRonald,VenRonald,,0,842,0,2,2,0,2,2,23,0.067353,0.079452,0,0,0.01006,4,0.000113,0,0
bt_bazinga,bt_bazinga,,0,843,0,1,1,0,1,1,24,0.087181,0.105282,0,0,0.002002,0,0.000113,0,0
Steven17196286,Steven17196286,,0,845,0,8,8,0,9,9,1,1,1,0,0,0.025956,4,0.000113,0,0
JerStone68,JerStone68,,0,848,0,6,6,0,6,6,20,0.087001,0.110367,0,0,0.015748,1,0.000113,0.033333,0
DirkjeSol,DirkjeSol,,0,847,2,0,2,2,0,2,0,0,0,0,0.001313,0,1,0.000161,0,0.003822
cryptosom,cryptosom,,0,846,2,0,2,2,0,2,0,0,0,0,0.001313,0,1,0.000161,0,0.003822
Claire70028593,Claire70028593,,0,849,0,3,3,0,3,3,22,0.072254,0.088974,0,0,0.041247,1,0.000113,0.666667,0
geekingthething,geekingthething,,0,709,6,2,8,8,2,10,22,0.072155,0.087623,0,0.016595,0.040431,1,0.000242,0.25,0.013605
D10011980,D10011980,,0,828,1,4,5,1,4,5,1,1,1,28,0.000016,0.008314,0,0.000134,0,0.005484
guest_7th,guest_7th,,0,850,0,2,2,0,2,2,23,0.067353,0.079452,0,0,0.01006,4,0.000113,0,0
p_joger,p_joger,,0,855,2,14,16,2,39,41,22,0.094727,0.130173,588.666667,0.006862,0.085403,1,0.000152,0.054167,0.003822
100thingsilove,100thingsilove,,0,854,1,0,1,1,0,1,0,0,0,0,0.004197,0,1,0.000122,0,0.002888
MitchellEsajas,MitchellEsajas,,0,853,1,0,1,1,0,1,0,0,0,0,0.004197,0,1,0.000122,0,0.002888
Antonkarel,Antonkarel,,0,514,9,0,9,10,0,10,0,0,0,0,0.022273,0,1,0.000263,0.027778,0.02186
PolitiekBIJ1,PolitiekBIJ1,,0,13,77,0,77,96,0,96,0,0,0,0,0.106262,0,1,0.004726,0.004443,0.394085
Kakel_74,Kakel_74,,0,856,0,1,1,0,1,1,1,1,1,0,0,0.008802,4,0.000113,0,0
kees92267188,kees92267188,,0,857,1,1,2,1,1,2,1,1,1,1,0.000339,0.013305,0,0.000137,0,0.001911
HeinStu,HeinStu,,0,858,0,1,1,0,1,1,1,1,1,0,0,0.008802,4,0.000113,0,0
Lex47615977,Lex47615977,,0,859,0,1,1,0,1,1,1,1,1,0,0,0.000131,0,0.000113,0,0
Olaf1967DH,Olaf1967DH,,0,862,0,7,7,0,7,7,19,0.119879,0.153133,0,0,0.034992,1,0.000113,0.02381,0
Tijnpetje,Tijnpetje,,0,870,0,20,20,0,33,33,13,0.164354,0.21941,0,0,0.104688,4,0.000113,0.042105,0
Christovte1,Christovte1,,0,871,1,4,5,1,4,5,1,1,1,4,0.000064,0.024711,0,0.000145,0.05,0.001911
eppieheins,eppieheins,,0,874,0,3,3,0,3,3,1,1,1,0,0,0.00001,2,0.000113,0,0
Daphne_dB,Daphne_dB,,0,873,2,0,2,2,0,2,0,0,0,0,0.000001,0,2,0.000193,0,0.003822
mickvanwely,mickvanwely,,0,482,9,0,9,9,0,9,0,0,0,0,0.000198,0,2,0.000726,0.013889,0.020222
PerrydeWit,PerrydeWit,,0,878,0,4,4,0,6,6,23,0.068016,0.086112,0,0,0.010109,4,0.000113,0,0
KapiteinJeroen,KapiteinJeroen,,0,881,1,8,9,1,8,9,23,0.06891,0.092486,1988.5,0.000031,0.023154,0,0.000143,0.035714,0.003532
jvbnee,jvbnee,,0,884,1,5,6,1,6,7,2,0.857143,0.916667,1,0.00068,0.022624,0,0.000136,0.15,0.002467
PaulBalhuizen,PaulBalhuizen,,0,885,0,3,3,0,5,5,22,0.072256,0.089,0,0,0.040844,1,0.000113,0.333333,0
shantiii21,shantiii21,,0,886,0,2,2,0,2,2,22,0.072582,0.090052,0,0,0.03198,1,0.000113,0.5,0
THiddema,THiddema,,0,573,10,0,10,11,0,11,0,0,0,0,0.01459,0,0,0.000458,0.011111,0.023629
Josse1848,Josse1848,,0,887,0,4,4,0,7,7,23,0.100913,0.13812,0,0,0.01573,4,0.000113,0.333333,0
RendeJong5,RendeJong5,,0,888,0,2,2,0,2,2,1,1,1,0,0,0.015656,0,0.000113,0,0
frans09258841,frans09258841,,0,492,2,2,4,4,2,6,23,0.067361,0.079477,0,0.00115,0.01006,4,0.000158,0.416667,0.011411
Nafta78,Nafta78,,0,889,0,2,2,0,2,2,1,1,1,0,0,0.008841,1,0.000113,0,0
HumanPeacefact,HumanPeacefact,,0,890,0,1,1,0,1,1,1,1,1,0,0,0.008802,4,0.000113,0,0
ben_zat,ben_zat,,0,896,0,4,4,0,4,4,19,0.099327,0.120512,0,0,0.000273,0,0.000113,0,0
GadflyForChange,GadflyForChange,,0,895,1,0,1,1,0,1,0,0,0,0,0.000013,0,0,0.000137,0,0.001911
Rosinant_,Rosinant_,,0,894,1,3,4,1,3,4,18,0.109651,0.137053,675,0.000013,0.000365,0,0.000137,0,0.001911
Martinbosma_pvv,Martinbosma_pvv,,0,168,20,0,20,20,0,20,0,0,0,0,0.005517,0,0,0.001126,0.007895,0.052219
top_grafisch,top_grafisch,,0,898,0,2,2,0,2,2,1,1,1,0,0,0.000171,0,0.000113,0,0
carola_lalabebe,carola_lalabebe,,0,897,1,0,1,1,0,1,0,0,0,0,0.000008,0,0,0.000161,0,0.001911
annstrikje,annstrikje,,0,72,16,0,16,17,0,17,0,0,0,0,0.003473,0,0,0.000907,0.004167,0.037246
CMessemaeckers,CMessemaeckers,,0,899,0,1,1,0,1,1,1,1,1,0,0,0.008802,4,0.000113,0,0
Jan_Verbeek_,Jan_Verbeek_,,0,901,0,3,3,0,3,3,1,1,1,0,0,0.009129,4,0.000113,0,0
Chirensnel,Chirensnel,,0,902,0,1,1,0,1,1,1,1,1,0,0,0.008802,4,0.000113,0,0
tjemigdepemig,tjemigdepemig,,0,903,0,1,1,0,1,1,1,1,1,0,0,0.008802,4,0.000113,0,0
