index,tweet_id,username,text,tweet_source,tweet_source_link,rt_count,fav_count,clean_text
11646,1467181892764114952,MEESTERPEET,"RT @AnoMientje02: @RutgerGW Je moet die gekke #kozp ook gewoon  tijdens hun weekendverlof binnen de grachten van Amsterdamabad houden.
Waar…",Twitter for Android,http://twitter.com/download/android,4,0,"['gekke', 'kozp', 'gewoon', 'tijdens', 'weekendverlof', 'binnen', 'grachten', 'amsterdamabad', 'houden', 'waar']"
11647,1467181844357599235,assissicourt,RT @ale_rolan: @yrealj @NOS Je laatste zinnen kloppen niet als je dan ook nog eieren gaat gooien omdat je zo klaar bent met KOZP heb ik die…,Twitter Web App,https://mobile.twitter.com,1,0,"['laatste', 'zinnen', 'kloppen', 'eieren', 'gaat', 'gooien', 'klaar', 'bent', 'kozp']"
11692,1467181512370098178,HermanSmeetssho,"RT @Jaap_Cuperus: Volendam Zwarte Piet #kozp 

Misschien moeten we het zo eens proberen: https://t.co/NLNMmDzNvR",Twitter for Android,http://twitter.com/download/android,1,0,"['volendam', 'zwarte', 'piet', 'kozp', 'misschien', 'moeten', 'we', 'proberen']"
11694,1467181478022979592,Bramkat3,"RT @blauweblokhuis: Was gezellig in Volendam, volgend jaar meer dan welkom in Spakenburg #kozp",Twitter for Android,http://twitter.com/download/android,1,0,"['gezellig', 'volendam', 'volgend', 'jaar', 'welkom', 'spakenburg', 'kozp']"
11723,1467181140930932738,CornelisRobertu,"RT @DraadMeester: @frankvdlinde Dan nu de feiten:

@DenKozp interesseert het geen reet of piet #zwart is. #zwartepiet is slechts een gesubs…",Twitter for iPhone,http://twitter.com/download/iphone,1,0,"['feiten', 'interesseert', 'reet', 'piet', 'zwart', 'zwartepiet', 'slechts', 'gesubs']"
11768,1467180555217342472,ItsmeLa92432949,RT @mixus26: https://t.co/NPDDvwaB9f gaat lekker in volendam kozp weg gejaagd,Twitter for Android,http://twitter.com/download/android,1,0,"['gaat', 'lekker', 'volendam', 'kozp', 'weg', 'gejaagd']"
11783,1467180341173575686,petersiebelt,RT @TjerkLangman: Zou je dit ook hebben gezegd als het #Pegida was geweest Rutger? #KOZP #Volendam https://t.co/H9ejfjK05h,TweetDeck,https://about.twitter.com/products/tweetdeck,7,0,"['gezegd', 'pegida', 'rutger', 'kozp', 'volendam']"
11844,1467179475909677062,Gerbijl,"RT @TreaRingnalda: Het feit dat #roetveegpiet wordt geaccepteerd en #blankekindslaven wordt ontkent, bewijst dat #KOZP het alleenrecht op r…",Twitter for Android,http://twitter.com/download/android,2,0,"['feit', 'roetveegpiet', 'geaccepteerd', 'blankekindslaven', 'ontkent', 'bewijst', 'kozp', 'alleenrecht', 'r']"
11884,1467178963520872453,ItsmeLa92432949,RT @Hannesz1956: @Martin16025281 En dat KOZP komt dan met een WITTE bus. Nou ja...,Twitter for Android,http://twitter.com/download/android,1,0,"['kozp', 'komt', 'witte', 'bus', 'nou']"
11892,1467178787276210183,antznl3861,"RT @UbedaMichel: Die zwakzinnige van #kozp verzieken een #KINDERFEEST. #Zwartepiet vinden ze niet goed, nu hebben we die belachelijke #Roet…",Twitter for Android,http://twitter.com/download/android,1,0,"['zwakzinnige', 'kozp', 'verzieken', 'kinderfeest', 'zwartepiet', 'vinden', 'goed', 'we', 'belachelijke', 'roet']"
