clean_text_string,modularity_class
hierdoor geprovoceerd uitgelokt voelt zegt heel jou hee weinig kozp,4
precies gaat kozp mooie inclusieve samenleving houden verdienmodel stand bewust gehaat zodat eeuwig klagen racisme hand werken speelt hen rol gaat subsidie,2
helemaal mee vind mezelf goed af dalen niveau kreet kozp namelijk zwarte piet racisme,2
kozp gezorgd woord racisme serieus opgevat bij1 ziet zint racisme we goed klaar buitenlandse parels moeten vooral linkse partijen hiervoor danken,2
kozp zaait haat racistisch snuggersten winden erover iedereen acties dank afneemt land oorsprong bakten niks gelukkig paar westerse landen gek zicht laten uitbuiten,2
groeten volendam kozp,1
kozp volendam uitgejaagd blokkeerfries vint machtig mooi natuurlijk,1
hoog tijd kozp terroristische organisatie betitelen per direct verbannen niemand,1
geniet ervan kozp morgen alweer voorbij wnlopzondag buitenhof,0
volendam vs kkk winnaar gaat nooit veranderen kkk blm 10 jaar bezig noemenswaardig resultaat uitzondering tena dieuwertje grachtengordel bubbel zwartepiet volendam psvutr,0
10 jaar tijd kinderfeest knoppen geholpen kom volendam provoceren kick out kozp her welletjes,2
aanval 10 jaar geleden ingezet kozp kozpkickout,2
subsidie slurpers kozp terecht vollendam uitgejaagd,2
kozp krijgt gewoon subsidie kinderfeest verstoren terecht volendam verdreven,2
hebt domme volendammers volendam kozp racisten,1
telegraaf meesterjournalist heldhaftig racist noemt soort dingen onveranderlijk volksfeest volendam kozp racisten palingnazis,1
hoeba hoeba hoeba hop hop hop kozp goed vanaf gekomen paling marsipulami s normaal eieren gooien kneuzen volendam,1
jeetje zullen jullie geschrokken volendam jankerds huilen kozp,1
kozp gewoon hadden laten lopen niks hand ongelofelijk dom volendam eigen markt verpest rook gezet iedereen weggejaagd zonodig racist willen,1
ach kijk begint steeds jenny douwes klinken zoals opneemt vrijheid meningsuiting zielugge volendam racisten,1
kijk verzetsheld volendam bakje visafval gaat gooien eigenlijk avondeten z n moeder zus bedoeld foto via kozp lombrosohoofd,1
apen gooien elkaar poep volendammers gooien oliebollen eieren goeie dagen slagen erin rechtop lopen wel winst volendam weten racisme kost geld hoop gezeik rotzooi tent kozp,1
typisch volendam eerst midden straat eieren gaan staan gooien kozp beschimmelde palingjas dreigen foto s gepubliceerd mogen nou sta ingrid volle racistische glorie,1
palingracisten kloterige palingmuziek palingpakjes verlopen palingkoppen gewoon platgooien weg ermee airstrikes desnoods volendam kozp,1
steeds racistisch reltuig volendam dentificeerd weer mike veerman visgooier vishandel slinger apparently vast gaan informeren voelt n taakstraf strafblad kozp,1
mag niks zeggen land zeg oprottuh kanker kozp ophangen cultuur blank blank blank terug land apen wij nederland vrijheid kanker soros ei kankerkop tribunaluh waaah waah grooaaah voluhdam fooreffuhr 111,1
houden we erin kovd kozp,1
journalist echt zin rechtszaak volendam kozp,1
vond t optreden kozp juist onaangekondigd bus komen rijden direct megafoon gaan roeptoeteren aangekondigde demonstratie tegenactie imo 100 tokkiegehalte,4
werkloze kozp soros activisten vallen volendammers dorp gegooid denken wel voordat weer keer langskomen,2
gelukkig politie wegkeek cellen genoeg jullie mafketels sluiten kozp,4
wegjagen pek veren kozp,4
komt onaangekondigd gaat megafoon volendam ers racisten uitmaken vervolgens begint kozp eerst spullen vd markt gooien eigen schuld,1
lange video kozp markt gepiepeld daag sinterklaasje daag daag zwarte piet volendam,1
waar gaat kozp naartoe urk,1
ieder vrij spreken zie demo s wappies iedereen spuugzat zie demo s kozp,2
precies kozp,2
soros ziet alsof net volendamse oliebol oog gehad volendam kozp airfryer,0
kozp kwam speciaal belaagd zodat weer konden gaan huilen subsidie opstrijken hou steeds slachtofferrol kruipen niemand trapt,0
goeie zaak kozp harder radicaler opgetreden voorspel kor,0
kozp daarvoor nodig hoor maken zichzelf onsterfelijk belachelijk,0
kozp terroristen neem,0
nee zie misschien staat heldhaftige vrouw net mooie actie trouwens eieren kozp,0
volendam trots burgers terreurgroep kozp dorp verdreven volendam,0
kozp schaam kapot,4
trots inwoners volendam kozp jullie moeten kapot schamen,4
hoop ie raak liever kop kozp leider,4
schitterend gedaan inwoners volendam kozp schaam kapot,4
goed volendam mooi gedaan stelletje kanslozen kozp trieste figuren zeg zeker blanke mee zwarte piet racisme,4
hadden bakstenen moeten stelletje sukkels kozp,4
eierwit stak mooi af zwart kozp,2
beter opstand volendam kozp,2
bus kozp volendam binnen reed hadden volendammers zoiets gaan wij winnen pakten oliebollen eieren bekogelen leden kozp daarop afdropen,2
volendam mede werking vandaag volendam nationale oliebollentest gehouden stevigheid oliebollen kreeg ruim voldoende,2
pure provocatie demonstreren wanneer toestemming demonstratie verleend uitlokking kozp verliest duidelijk goodwill,2
verzet volendam roemloos afgang kozp,2
hadden bakstenen wees blij volendam mild beroeps werkeloz,2
we mogen zeker trots mensen kozp even recht zetten zotte ordeverstoorders kinderfeestje verstoren,2
moeten leden kozp schadeclaim indienen volendamse verzetgroep gooien eieren oliebollen kleren bevuild geraakt,2
kozp verschuilen achter gehate politie,2
verbaast eigenlijk wel we soort volksopstanden kozp gedram eerder meegemaakt,2
graag gedaan,1
gelukkig jij nooit onderwezen gelukkig jou kansloos plasvlekje,1
tuurlijk pek veren kielhalen producten inteelt smeerpijperij jeffry voorop vies plasvlekje,1
vies vvd miesertje aanhangertje jouw gedrag voorspelbaar jij durft rotterdammer noemen triest plasvlekje,1
gelukkig jou liever eieren n borgring gebruikt uitschot samenleving beter brandstof biomassacentrale vreselijk eng mens alhoewel omschrijving mens echt toepasbaar jou,1
nou zwarte piet blijft gewoon nederland hoor zodra we kozp land gemieterd d,0
heel kozp meuk overgesubsidieerd zelfs busvervoer hangt subsidie handophouderij elkaar,0
kattebelletje nee jij bent actie jerry mantel liefde bedekken klaa,0
kattebelletje actie reactie praat beide goed wel klaar vermoorde onschu,0
kattebelletje pssst kozp begon schreewen megafoon gezicht ipv normaal gesprek gaa,0
kozp liegt kleine kinderen werden aangespoord ouderen bah slachtofferrol,0
zwartepiet discussie links treiter middel extreemrechts wit blacklight lichten polariseren werkt,2
today it s sinterklaas today with all kids and family the kids will get their presents don t f ck with us kozp rutte and dejonge you know how dangerous black peets are if you are a naughty boy treed af ga asiel zoeken allen,2
zwartepiet traditie afblijven,2
zwartepiet blijft af vroeger moest integreren hoeft we immers europeanen zeg nexit,2
zondag 5 december traditioneel nederlandse families komen elkander sinterklaas vieren strooigoed kadoos cadeau volle huiskamer sinterklaas zwartepiet hoezee,2
zondag 5 december traditioneel nederlandse families komen elkander sinterklaas vieren strooigoed kadoos cadeau volle huiskamer sinterklaas zwartepiet hoezee,2
we zwaaien z n allen we zwaaien z n allen ondankbaar volk zelfs eten kregen gratis aangeboden verse vis oliebollen nee harde subsidie euro s kozp witten krijgen,2
lacht stommigheid we tradities zwartepiet dwaal af enige succesje ooit flats plezier,2
politie lange lat kozp terroristen moeten gaan,1
hoezee hoezee hermen j jacobs hu zwartepiet sinterklaas hoezee hoezee,2
zwartepiet racisme tijd lessen school,2
zwartepiet aangepakt mag zeuren racisme lees,2
zwartepiet 1 jaar terug,2
zwartepiet 1 jaar terug,2
zwartepiet racisme tijd lessen school,2
kozp volendam boze lakers den haag belagen sinterklaas pieten bekennen filmpje wederzijds kansen selectieve verontwaardiging uiten,1
kozp volgt instructies saul alinksy s rules for radicals nauwgezet volendam,1
binnen bij1 kozp patroon jij bakken richting joods nederland pogingen herdenking jodenvervolging 40 45 concurrentie zien recent 4 5 mei racistisch bedenken,1
vanaf dag n speelden anti joodse sentimenten grote rol binnen kozp d66 groenlinks associ erden vervolgens gretig,1
afriyie mededemonstranten palingdorp gekomen onaangekondigde demonstratie hadden gedacht koffie gebak klaar staan volendam kozp,4
legitimeert natuurlijk eieren oliebollen gooien politie moeten handhaven kozp retour a dam moeten sturen,4
verbaast pek veren dorp uitgebonjourd sinterklaasintocht kozp,4
kozp gaten nl groter amsterdram sinterklaasjournaal volendam,4
iig steeds blij zwarte piet sinterklaas fuckkozp zwartepiet,4
terugvolgvrijdag sinterklaas zwartepiet,4
n tijd nadat provocatie kozp werk gedaan,4
reageerde blijkbaar boze blanke,1
nee hoor juist andersom blijkbaar velen niks gekleurde mensen gemaakt kleine groep lastig,1
mag ineens gezegd klootzak,1
mag gezegd andersom zegt meteen schande gesproken,1
lees weer zwarte piet schaam jullie,1
doorbraak eu marxistisch bestaan dankt kapitalisme ergens wringt jullie oorsprong,1
mooi volendammers minder verbaal ingesteld werkt kozp,1
ging lekker he schoolreisje pretpark viel smaak kaartjes,1
luidspreker markt gaan rondlopen iemands gezicht lopen schreeuwen bijna racistisch totdat ontdekt vredesapostel kozp,1
algemene strekking persoonlijk hoeft aangesproken voelen zp racistisch komt kozp vandaan intentie nl racisme wrijven blijft malen uiten provoceren,1
stella mag zeggen namens afriyie nix solidair kozp streelt ego gemankeerde boodschap wereld slingeren nl ers racistisch,1
stella bent echt uitgerangeerd h barbie daarom profileer sidekick kozp,1
daarmee sylvana bij1 quincy halve gario kozp woord kunstenaar akwasi bedoeld ware racisten,1
stom dier minderheid cancelcutuur opleggen meerderheid vind jou hele k tclubje bij1 kozp schande ten opzichte alle opgebouwde rechten plichten cultuur tradities mooie land jij bent racist stinky silvana ipadje,1
lief jullie zullen wel dankbaar sponsoring jullie jaarlijkse ui,2
uitmaken racist zwartepiet hou dodelijke ziekte schelden mis precies,2
denk sidney kinderjokker graag gratis verdedigen sidneysmeets kozp volendam,2
nazi boomer eieren engste stuk foto mensen zwijgende winkelaars st,1
welke agressie groep leuzen staan roepen noem agressie noem mensen vuurwerk gooide eieren mandarijnen oliebollen blikjes intimideerden bedreigden bespuugden haren vrouwen trokken dranghekken duwden,1
sure jan sure,1
echte helden vandaag mensen hol racistische leeuw durfden demonstreren gewel,1
respect waardering jullie moedige actie jullie stonden temidden zoveel geweld,1
ondanks geweld onze kant kwam bleven onze demonstranten standvastig krachtig vreedzaam onze boodsch,1
,1
ingrid be wildin,1
vandaag hadden we o a steun dankbaar iedereen vandaag solidair welke vorm,1
zie allemaal eten dingen gegooid demonstranten zwarte piet volendam d,1
tien jaar geleden mede oprichter kick out zwarte piet intocht dordrecht boe,1
kolonialisme racisme klimaatontwrichting maken allemaal onderdeel hetzelfde systeem antizwartepietchallenge zwartepietisracisme,1
reactie volendamse burgemeester onbegrijpelijk burgemeester hoor pal staan demo,1
racisme collega kamerlid intimideren racisme zeggen kleur ziet racisme ingrijpen z,1
vreedzame demonstranten blijf af,1
zwarte piet racistisch dankzij moed vele demonstranten meerderheid nederland inmiddels e,1
statement kozp treft onversneden racisme geweld volendam politie keek toe afgelopen zaterdag hield kozp demonstratie volendam zwarte piet structureel racisme vissersdorp lees volledige statement,1
for the people the back,1
jullie aanhoudingen gehoord nav mensen volendam camera geweld pleegden,1
volendam schaam,1
racisme blanke vrouw jerry zoals jullie weten afrikaanse mannen elke respect vrouwen kickout kozp jerry achteraan,1
wel normaal geweld volendammer racisme noemen afrikanen weinig respect vrouwen langer bekend kickout kozp sylvana volendam zwartepiet,1
sylvana kak gezet sinterklaas vrouwenbesnijdenis kindhuwelijken ritueelslachten hoor silly syl nooit afrikaanse moslim vrienden tja bij1 klagen zwartepiet volendam fuckoff kozp,1
grootouders slavenhandelaren ashanti hoor linkse woke club aanhangers nooit slavernij kozp,1
gelukkig duidelijk foto dader vrouw 50 cm afstand gezicht stond schreeuwen megafoon racisme foto 2 archief waarop jerry terecht afgevoerd demonstratie zwartepiet volendam kopz fuckoff,1
slavernij gesproken hoor moslim gemeenschap nooit smerig meisje 9 jarig verkocht 2000 euro man 55 jaar pedo blijven zeuren zwartepiet racisme islam moslim slavernij,1
nee vrouwenbesnijdenis moslims islam normaal islam onze cultuur nl achterlijke cultuur hou lekker bek zwartepiet racisme,1
komt aap mouw gaat mitchell esajas alleen geld zwartepiet zwartepiet verdienmodel geworden nep kozp volendam,1
doet framing lekker rustig nou hoofdpiet alias jerry kozp staat 50 cm megafoon schreeuwen vrouw volendam zwartepiet,1
hadden jerry boeien moeten slaan net zoals vorige keer wegens opruiing voorouders jerry ashanti bekend slavernij nooit slavenhandelaren kozp volendam zwartepiet zwartepietisgeenracisme,1
werken mensen graag later stage willen werken fakenieuws volendam kozp,1
nhnieuws doet mee framing kozp leden begonnen gooien oliebollen volendam kozp,1
vonden kozp terroristen eigenlijk oliebollen test jaar lekker zacht just vet vinden jullie kozp disclaimer indien vet vlekken gekregen kleding vergoed volendam,1
racsime gesproken zeker commentaar jodenhaat jouw leider sylvana fuckoff kozp volendam teamvolendam teammeiland,1
drone beelden aftocht kickout kozp keer pek veren eieren oliebollen volendam verjaagt teamvolendam via akwasi jerry bij1,1
vindt kozp subsidie tonnen per jaar inleveren onaangekondigd gedemonstreerd volendam teamvolendam volendam,1
vind juist heerlijk opdonder kozp gewoon smerige racisten blanke mensen zwartepiet blijft,1
stop kozp akwasi jerry volendam,1
opgepakt foto s oude doos kozp volendam fuck kozp zwartepiet blijft zwartepiet,1
uiteraard enige echte zwartepiet pieten zoals roetveegpiet grijzepiet allemaal nep,1
alle verdiensten spelen zwartepiet terug gestort cancelcultuur meilandjes erica meiland,1
nemen jullie groot ouders even mee jullie verhaal ashanti ghana grootste slavendrijvers heel wereld slavernij afrika waar blijft excuses jullie akwasi jerry extinctionrebellion voc kozp,1
zwartepiet blijft zwartepiet extinctionrebellion,1
banketbakkers sinterklaasassortiment aangepast vanwege pietendiscussie hoor zelfgemaakte zwartepiet negerzoenen inclusief rode lipjes fuck kozp inclusie woke,1
zeker actie akwasi jerry kozp blijf handen zwartepiet af kampen,1
bedoeld acab gedacht politie aardig vonden sylvana simons bij1 ditism avondlockdown volendam kozp,1
veroorzaker schade kunt schadeformulier verzenden jerry ontvangt graag brieven stop kozp zwartepiet blijft zwartepiet,1
palestina steunen jodenhaat racisme antisemitisme hoor extreem linkse sylvana simons nooit zwartepiet blijft gewoon zwartepiet fuck kozp,1
ziet zwartepiet liefst boerkazwartepiet kickout kozp jerry achteraan volendam,1
volendam schamen vindt kozp kinderen aangemoedigd bekogelen hoor ie racisme kaart valt ontkennen volendam groot racismeprobleem kozp fuckoff zwartepiet volendam,1
jerry haat blanke hollanders vooral blanke vrouwen ga lekker ergens anders wonen racist zwartepiet blijft zwartepiet,1
zwartepiet volendam,2
nederlander werkt bijna hele jaar 3 aaneengesloten weken vakantie kozp werkt 3 aaneengesloten weken per jaar rest jaar vakantie,2
schokkend relaas kozp demonstratie volendam gisteren belangrijke vraag waarom stond politie erbij kee,2
dode vissen gekend weigerden laten verpakken re goedpraten racistisch geweld inwoners volendam geweldloze kozp demonstratie,2
jij herkent haat namelijk overduidelijk kozp groep gericht,1
schitterend gedaan inwoners volendam kozp schaam kapot,2
kozp klopt,2
goed gedaan politie laat tyfus kozp bekogeld ghana spul,2
kozp komende dagen wel demonstraties gepland hoop overal hetzelfde behandeld volendam hoeven 5 december 11 maanden subsidies behouden kozp,2
airfryer boring heel holland gehad gesubsidieerde oeverloos gezeik zwartepiet bov,2
kijk eerst kozp deed voordat bevolking begon reageren actie reactie bal kaatst,2
geitje mekkert mee meerderheid 30 onnozelen kozp,2
haha heerlijk kots kozp,2
mooi oliebol oliebol echt kotsen lui kozp,2
haha kozp prutsers ga huis ghana,2
kozp vreedzaam dictators,2
onaangekondigd demonstratie houden ontdaan belaagt mogen blij ongeschonden vanaf gekomen hadden harder aangepakt moeten zoals politie demonstranten afgelopen tijden gedaan kozp,2
burgemeester chammeren achter burgers staan wel kiest mensen tradities opkomen weg tuig kozp alleen opruien mensen beschuldigen racisme,2
goed wel zonde oliebollen gasten veroorzaken alleen trammelant dh getolereerd goede zet kozp oplazeren lui profiteurs,2
goed wel zonde oliebollen gasten veroorzaken alleen trammelant dh getolereerd goede zet kozp oplazeren lui,2
gedoe drammers zwartepiet gehele traditionele kinderfeesten nek omgedraaid helaas gaan winkeliers hierin mee anders gaan drammers dreigementen uiten richting hen hiervan reden we duidelijk,2
huilbaby oprotten subsudie trekkers kozp kick out kozp,1
martijn koning hekel fvd sympathisanten stem fvd lid so what check stat,1
kozp rutte grapperhaus jerryafriyie volendam,2
volgend weekend mafklappers kozp bus staphorst urk zullen vast wel warm,2
nee echt dollen vind zielig kozp krijgen gratis oliebollen eieren h,2
most people the netherlands find kozp very annoying,2
kozp jerryafriyie,2
snap rechts extremisten nazi agressieve manier mensen like you and uitschelden fascist hvh enz heus wel weten zijzelf fascisten heel club fascisten davide pvv wappies anti kozp etc,4
kind zien pure provocatie zwartepiet wappies ofwel zwappies kleingeestige pestkoppen gewoon schoolplein afleggen,4
terroristen kozp protesteren linkse steden rechtse dorpen zodat weten reactie krijgen daarna huil verhaaltje ophangen linkse npo jinek linkse praatprogramma s,4
idd kozp geweld,4
volgende keer urk kozp,4
idd kozp goed gezegt,4
geweldig weg droeftoeters,4
mensen kneusjes zat kozp kick out zwarte pietprotesters,4
bedoel blm kozp agressieve soros betaalde cluppies agenda reageerde ina,2
iedereen weet kozp zieke racistische organisatie criminele media steunt,2
ondankbaar volk onze christelijke tradities weer kent volendam kozp,2
dorpen vis delen staat gewoon bijbel wrijf nou visboer kozp volendam,2
komt twee bussen aanzetten gaat schreeuwend tierend megafoons dorp laat shit hole amsterdam blijven oude vervullende euro 3 bussen kozp volendam nietweerdoen,2
komt twee bussen aanzetten gaat schreeuwend tierend megafoons dorp laat shit hole amsterdam blijven oude vervullende euro 3 bussen kozp volendam nietweerdoen,2
precies bedoeling hopeloos tenenkrommend voorspelbaar olie vuur gooi,2
demonstreren bus uitspringen straat rennen keihard megafoon schreeuwen geschrokken mensen 1 meter afstand hadden hoeven kind loop denken zulke figuren wel kozp volendam,2
bus zien springen lui kozp volendam,2
oh hebt lui kozp intimiderend bus zien springen schreeuwend megafoons straten zien gaan kind 5 lopen zeg schrikken echt enorm,2
trieste tweet kozp komt onaangekondigd agressief demonstreren mensen menigte paar honderd man jij willen,2
net zoals vroeger pek veren toppers volendam kozp,1
vergeet anti zwartepiet promoslim winkels hema bol boycotten,1
zwartepiet vriendelijk leuk aardig werkt jeffrey airfryer doet kozp,1
inderdaad zoals corona demonstranten kozp onschuldig opruiing ordeverstoring lawaai daarmee opzettelijk gehoor beschadigen dichtbij,1
valt best wel zeggen gisteren volendam gebeurt net sylvana simons reacties bewuste provocaties kozp racistisch geweld gaat noemen af,3
diezelfde mensen haverklap demonstreren corona beleid vaccins schijt gezondheid,1
tien jaar lijkt voorbij gevlogen gebeurd zoomt zes momenten tijdens onze campag,1
openlijke geweldpleging vreedzame demonstranten soort bothsides taalgebruik legitimeert geweld gots,1
maandag op1npo angela jong vvmu kozp,1
zelfs ieder protest kozp immers jaren gezien uitlokking n,1
r edwards kozp zwartepietisracisme,1
volendamm schaam,1
kijk witte boze boomers links opa eieren gooien volendam,1
vandaag volendam laat witte koloniale fragiliteit nederland breken zoals onze busruit d,1
ingrid ke maai chodo eieren bekogeld zwartepiet steeds racisme ingrid matties need to grow the,1
zie vooral omstanders toejuichen aanoedigen vrouw weet gang gaan voelt,1
filmpje kozp werden oliebollen uitgedeeld kraam vuurwerk bekogeld,1
waarom nooit fysiek kozp meegedaan se verste verte kracht totaa,1
actiegroep kick out zwarte piet kozp zaterdagmiddag korte tijd volendam gedemonstreerd zwarte piet structu,1
top actie kozp volendam agressie volendammers politie stond erbij keek kozp zwartepietisracisme,1
mooie actie extinction rebellion bezet voc schip strijd zwarte piet via,1
ggz friesland haalt logo bus gebruikt kozp,1
echt bizar mensen feelings kozp geweld gewoon gedoogd waar beri,1
,1
burgemeester volendam whitegaze bagatelliseert discriminatie haat schade vuurwerk,1
zwartepiet,2
zwartepiet,2
zwartepiet pvvgr22,2
zwartepiet,2
wij willen zwartepiet,2
volk zwartepiet overheden dwingen organisaties zwartepieten vervangen vraag af diep treurig we staan ooit mooie land verzet revolutie tribunaal,2
zwartepiet,2
opnieuw succes pvv stemmers hoor sinterklaas zwartepiet huisbezoeken afzeggen n a v persconferentie corona smoesjes foute sluwe rutte werken weer goed,2
zwartepiet,2
volendam weten raad kozp tuig v victorie volendam zwartepiet sinterklaas pakjesavond,2
sinterklaasfeest gesloopt linkse woke mensen meent pvv verdwijnen fijne nede,2
opgedonderd kozp,2
opgedonderd kozp,2
opgedonderd kozp,2
opgedonderd kozp,2
jongeren migratie achtergrond niks kozp gooien terug weet kozp wonen amsterdam,2
illegale demonstratie politie hoogte burgermeester niemand wel huilie huilie wanneer hand loopt kozp verantwoordling opleggen gevaar brengen eigen mensen,2
vraag 1 racist wanneer gekleurde nederlander hekel hebt houding gedrag intimidatie geweld kozp,1
weer feiten verdraaien toestemming protesteren blm blijft racistische terreurbeweging volendam bij1 kozp,1
jij ander filmpje gezien wij kozp weekend gedaan echt belachelijk provocerend enkele wijze goedpraten uitgevreten volendam racist ie wel,1
vreedzame demonstratie aangekondigd wel twee bussen vol racistisch tuig terroristen kozp bij1 wellicht groenlinks jij vertegenwoordigt nederland moeten we volemdam klaver,1
alweer leugen racistisch terroristische beweging kozp ondersteunt politie partijen elkaar gescheiden nadat kozp terreur verspreidde markt volendam niemand gedrag kozp goedpraten walgelijk soort,1
alweer leugen racistisch terroristische beweging kozp ondersteunt politie partijen elkaar gescheiden nadat kozp terreur verspreidde markt volendam niemand gedrag kozp goedpraten walgelijk soort,1
racistische kozp gaat huilen mensen jullie eisen triest volk racistische kozp aanhangers,0
waarom willen aanpassingen opdringen rest pas jij wilt jammer racistische kozp aanpassen nederland,0
bent grappig voorman kozp komt land waar slavernij grootste bronnen inkomsten enige gevolgen slavernij ondervonden inkomsten opdroogde slavernij afgeschaft komt subsidie grabbelen,0
gaat weer whataboutism doei kozp racisten,0
kozp racisme iedereen steunt racist,0
agressie kwam vanuit kozp kregen reactie terug agressief straat bezet roeptoeters dergelijke verdien gepaste reactie,0
snap jij racisten kozp steunt,0
doet whataboutism triest kozp racisten illegale demonstratie terecht resultaat strijden racisme kozp,0
illegale wappie demonstratie kozp volendam,0
verboden demonstratie kozp bekogelen eigen risico,0
kozp blijven racisten wij recht zwarte piet houden zoals hoort jullie dictator gedrag laat dramsterdam,0
racisme bestrijden kozp tegenhouden terecht,0
kozp racisten,0
racisten kozp wegjagen goed,0
volgens links geweld racisten toegestaan tweestrijd jammer spullen kozp gegooid kant racisten bestrijden terecht gestreden kozp,0
kozp leuk volk racistische bende kozp niks geven,0
kozp groep racisten iedereen steunt racisme,0
volendammers werden opgehitst kozp kozp volle breedte weg gaan lopen provoceren kozp fout,0
ruimte waar marktkraampjes stonden jou voldoende ruimte weet 1 5 meter regel waar racisten kozp maling hadden daarom blokkeren mensen konden veilig volgens regels langs,0
hoop iedereen kozp aangehouden geweld,0
ledig ontevreden bestaan leidt trachten waardigheid relevantie ontlenen gecre erd vijandbeeld betreft jullie gelijk racist zoek leuke hobby,1
ledig ontevreden bestaan leidt trachten waardigheid relevantie ontlenen gecre erd vijandbeeld geldt hele polariserende kozp clubje zoek leuke hobby,1
ledig ontevreden bestaan leidt trachten waardigheid relevantie ontlenen gecre erd vijandbeeld betreft jullie gelijk racist zoek leuke hobby zodat deugpunten kunt sparen,1
zeg jij vindt zekers normaal provocerende gedrag kozp kapot schamen gek h steeds mensen vinden i h gedachtegoed v d vvd dag linkser jaren vvd gestemd nooit,1
politie inderdaad moeten treden nl meteen bekeuren bussen mogen staan wegsturen kozp illegale demo,0
marktkoopvrouw gooide tientallen eieren kozp m n dak gegaan eigenaar oliebollenkraam bussen mogen helemaal markt paar jongens kochten 50 gratis gemogen video kozp bekogeld visafval,0
burg lieke sievers edam volendam kozp demo aangemeld onaangekondigde demonstraties toegestaan,0
volendam jaagt kozp weg video,0
volendammers bekogelen kozp oliebollen eieren demonstranten maken wegkomen video heerlijke video heerlijk avondje,0
punt jaren geleden gemaakt heus wel erbij voorstellen kozp even,2
w l zwarte pieten volendam kijk beelden kozp vlak uitstappen begin markt neemt weg actie pure provocatie elke ludieke oliebol ongewassen tofuhoofden volkomen terecht,2
bijna alle kozp demonstranten spierwit grauwe mufwijven ernstig vitamine b12 tekort vreselijk volk mooi volendam,2
kozp schamen provocerende rupsjes nooit genoeg zwarte piet dood prima waarom blijven zeuren zuigen,2
zeggen kozp volendam moeten gaan demonstreren hetzelfde zeggen verkrachte vr,3
kinderfeest moeten aanpassen zodat iedereen leuk volwassen persoon boos,3
gros kozp demonstranten blank zie foto begrip blanke deugmensen boek gloria wekker gelezen zwarte vrienden denken mensen les lezen racisme kolonialisme weten,0
snap bernadette steek mening kozp stoelen banken,0
waarom doel kozp begrijpen,0
volendam woont nooit bent wel bus vol kozp activisten toe reist dorpelingen vertellen sinterklaas moeten vieren raar opkijken mensen idee traditie afpakt,0
wel uitleggen afkeer jegens kozp begon kinderen zag huilen tijdens optocht verstoorde achterhoofd snap reacties volendammers wel megafoon jouw oor ga schreeuwen geef jij knuffel,0
bezoekers markt belagen via megafoon schreeuwen racisten uiterst respectvol noemt nieuwe inzichten zwarte piet zeg bewust blind bent verdienmodel beroepsracisten kozp what s it for you,0
gaat specifiek plek moment burgemeester blijkbaar trek overigens wel tegenstrijdig beledigd hele bestaansrecht kozp totaal onnodig bijkomend voordeel volendam open armen ontvangen,0
belachelijk verstorende anti zwartepiet actie niks beters ongelofelijk,2
kozp mensen belaagt wegkijken mild moesten klappen gekregen demonsteren recht geweld richting medeburgers misdaad,2
kozp warm verwelkomd volendam kregen lekkere oliebollen eieren aangeboden werden liederen gezongen iedereen kwam straat gezellig,2
meldpunt vaccinatieplicht zwartepiet coronapas genoeg geslijmd terugvolgzaterdag potverdrie volg meldpunt betere wereld meldpunt volgt terug betere wereld,2
weet hoor stel groep volendammers amsterdam west megafoon weg moskee gaat staan,2
bent even onge nformeerd kozp figuur zwarte piet zoals wij kennen ontwikkeld antislavernijactivist,2
bent even onge nformeerd kozp blaat haters figuur zwarte piet zoals wij kennen ontwikkeld antislavernijactivist feiten h,2
wens kozp eeuwige leven elke dag ziekte,2
vergelijkt kozp moeder,2
stelt reacties moreel gelijk provocatie arrogante gesubsidieerde indringers volendammers kwamen kinderfeest cultuur paar hooligans eerder kozp euvel duiden begonnen,2
tokkie kozp walgelijk,3
kozp hulp nodig politie,1
it s funny cause it s true zwartepiet,1
n leugen niemand kozp megafoon mensen markt geroepen racisten blijf vooral boel elkaar verzinnen ophitsen,1
weet waarom kinderen huilen tijdens intocht waar kozp ouders plaat gaan wanneer kozp zien ouders gaan schreeuwen schelden ouders kind hand hysterisch gaan daarom,1
n voorbeeld meisje huilde ouders plaat gingen buurt vanwege kozp elk jaar weer trekt weer meisje voren hou hoor,1
kozp veilig moeten volendam,1
beweer nergens vriendelijk overkomen ieder mens weet kozp geweld gebruikt ergens komen boel kort klein rammen zomaar mensen gaan aanvallen blijft schuld geweld verkeerde leggen,1
niemand ntimideerd kozp filmpjes duidelijk zien intimidatie volendammers kwam misbruiken rellen liep mevrouw snuit megafoon niemand bedreigd kozp stop liegen,1
maakt jij draait geweld kozp goed praten gewoon mensen demonstranten dorp wilden tig manieren lossen grepen gelijk geweld praat goed,1
even h mensen zeggen kozp volendam moeten gaan konden weten gaan gebeuren hadden verwachten gt,1
lullig gedreig geweld mensen pers zwarte piet vast willen houden alleen kozp gaat politie nodig nodig zwarte piet liefhebbers gareel houden trouwens,1
elke keer weer snel leugens verzonnen geweld kozp goed praten leugens snel gedeeld waar aangenomen gewoon eng zwartepietisracisme,1
zwartepiet decennia grootste kindervriend positieve discriminatie zwarte piet mooi voorbeeld werkgever alleen donkere medewerkers dacht juist moest stimuleren,3
pffff staat erbij kijkt ernaar kozp,1
draadje racistische geweld volendam vandaag kozp,1
feit politie optreedt racistische geweld volendam wel kozp blm bewijst,1
dappere helden kozp,1
hey onderzoek 20 min duidelijk krijgen kozp absoluut gegooid waarom gaan jullie k,1
